head,tail,context
心力衰竭,肺康复,...、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症也是加重呼吸道症状的常见原因知晓减少慢阻肺急性加重的干预措施（）提升自我管理效能（）长
肺癌,手术切除,肺癌咳嗽的治疗关键在于原发灶的治 的慢性咳嗽病因检查，排除已知的慢性咳嗽病因，疗，放疗、化疗、射频消融术及手术切除肺部肿瘤能 针对慢性咳嗽病因治疗无效的情况下，方可考虑不够缓...
肺栓塞,肺康复,...停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症也是加重呼吸道症状的常见原因知晓减少慢阻肺急性加重的干预措施（）提升自我管理效能（）长期规范使用吸入药物并
支气管哮喘,戒烟,氨溴索还可通过调节氧化应激反应使慢．戒烟干预：烟草烟雾是包括慢阻肺及哮喘在阻肺急性加重患者获益∞“。
慢性阻塞性肺疾病,补肺,...：纳入的项研究（例）[，，]中，项项RCT研究[]报告，联合补肺活血胶囊治疗例 研究[]无安全性报告，项研究[]报告未发生不...
慢性阻塞性肺疾病,健脾,... 三联药物（ICS/LABA/LAMA）联合使用丹龙口服液较健脾益气的功效，可改善慢阻肺患者咳嗽痰多、色白黏 对照组，可改善...
慢性阻塞性肺疾病,益肾,...定量气雾剂，DPI=干粉明中医药在稳定期可以通过补肺、健脾、益肾、祛瘀、吸入剂，SMI=软雾吸入装置。
慢性阻塞性肺疾病,活血,...入的项研究（例）[，，]中，项项RCT研究[]报告，联合补肺活血胶囊治疗例 研究[]无安全性报告，项研究[]报告未发生不良反...
肺炎,肺康复,... 不超过 d，超过 d的口服糖皮质激素与慢阻肺急括患者教育、肺康复治疗、长期氧疗、家庭无创通气、 性加重肺炎及死亡风险增加有关。
肺动脉高压,补肺,...：纳入的项研究（例）[，，]中，项项RCT研究[]报告，联合补肺活血胶囊治疗例 研究[]无安全性报告，项研究[]报告未发生不良反应，慢阻肺合并肺动脉高压患者周，记录不良反应包括项研究[]报道，玉
肺动脉高压,活血,...入的项研究（例）[，，]中，项项RCT研究[]报告，联合补肺活血胶囊治疗例 研究[]无安全性报告，项研究[]报告未发生不良反应，慢阻肺合并肺动脉高压患者周，记录不良反应包括项研究[]报道，玉屏风
慢性阻塞性肺疾病,益肺灸,...段临床问题：对于慢阻肺稳定期患者，联合中医外 锦、穴位贴敷、益肺灸治疗可显著改善患者生活质量。
慢性阻塞性肺疾病,宣肺止咳,宣肺止咳的功效，联合使用可改善慢阻肺风寒袭肺证使用方法：使用方法见表...
支气管扩张,肺康复,...生活质量? 是否可延缓肺功能下 慢阻肺稳定期疗法主要推荐使用支气管扩张剂，尤其是吸入降? 是否可改善焦虑抑郁状态? 贴敷治疗/非药物疗法是否 的支气管扩张剂，以及应用肺康复等非药物疗法;而年可改
肺栓塞,无创通气,...疗指征者，在评估病原体、采样后应用抗菌药物有指征者，建议使用无创通气动态监测液体、电解质和酸碱平衡预防深静脉栓塞症评估和处理合并症（如心力衰竭、心律失常、肺栓塞等）符合以下任意条，考虑入ICU治
心力衰竭,肺减容手术,对于接受长效支气管舒张剂治疗的慢阻肺肺减容术患者，如呼吸困难无明显好转，应注意心力衰竭。
肺癌,戒烟,患者，预防肺癌最好的措施是戒烟。
支气管扩张,体位引流,体位引流对支气管扩张患咳嗽，抗真菌治疗有效。
肺炎,无创通气,...服糖皮质激素与慢阻肺急括患者教育、肺康复治疗、长期氧疗、家庭无创通气、 性加重肺炎及死亡风险增加有关。
慢性阻塞性肺疾病,舒肺贴,...中西医结合治疗方案介入慢阻肺急性加重的拳、六字诀、穴位贴敷、舒肺贴、针刺、传统艾灸、 治疗时机？
慢性支气管炎,戒烟,"有急性加重的 且患有慢性支气管炎的 非药物治疗：慢阻肺常见的非药物治疗包括FEV<%.
患者，可考虑口服罗氟司特治疗，但目前国内大部 戒烟、吸氧、呼吸支持、呼吸康复、疫苗接种、营养心分地区尚无此药口."
