head,tail,context
慢性阻塞性肺疾病,免疫调节剂,...质队列研究的系统综述单个队列研究（包括低质量随机对照研究，《慢性阻塞性肺疾病诊治指南（ 年修订b如随访率<%）版）》［］中关于慢阻肺治疗的内容提及免疫调节剂c 结局性研究：生态学研究治疗，推荐慢
慢性阻塞性肺疾病,磷酸二酯酶抑制剂,...μl的慢阻肺患者初始治疗采用长效 推荐意见 ：细菌溶解产物、磷酸二酯酶抑制剂、β -受体激动剂（long acting beta-ago...
慢性阻塞性肺疾病,他汀类药物,...究表明，流感疫苗可减轻重症慢阻肺患者临床症状并 推荐意见 ：他汀类药物及维生素D等具有免疫降低患者死亡率，且与安慰剂对照组相比，流...
支气管扩张,免疫调节剂,...g，与稳定期患者相比也有明显变化，如血清免疫球蛋 其作为一种免疫调节剂，具有调节机体固有免疫和适E-mail:zgqkyx@chinagp.net.cn应性免疫的作用，有助于机体有效清除病毒抗原
肺炎,他汀类药物,近年研究发现，苗包括肺炎球菌多糖结合疫苗（PCV ）和肺炎球菌 用于降脂治疗的他汀类药物在慢阻肺的治疗中可能多糖疫苗（PPV ），其多糖抗原主要用于...
慢性阻塞性肺疾病,度普利尤单抗,. 《年月原料药相关价格情况 》--❖ 度普利尤单抗COPD适应症获批上市，患者分层或成临床试验的关键：. 《创...
支气管扩张,短效β2受体激动剂,◼ 急性加重期治疗：支气管扩张剂优先推荐单用SABA（短效β受体激动剂）或联合SAMA（短效抗胆碱能药物）吸入治疗（住院患者首选雾化...
支气管扩张,激动剂,◼ 急性加重期治疗：支气管扩张剂优先推荐单用SABA（短效β受体激动剂）或联合SAMA（短效抗胆碱能药物）吸入治疗（住院患者首选雾...
支气管扩张,抗胆碱能药物,◼ 急性加重期治疗：支气管扩张剂优先推荐单用SABA（短效β受体激动剂）或联合SAMA（短效抗胆碱能药物）吸入治疗（住院患者首选雾化吸入，门诊/家庭治疗可采用吸入定...
慢性阻塞性肺疾病,生物制剂,...用吸入三联难治患者占比%~%，对应~万人，艾特利单抗/ ST生物制剂渗透率%~%，年用药费用万元，对应市场空间 （Roche/A...
支气管扩张,吸入性糖皮质激素,...免疫的作用，有助于机体有效清除病毒抗原及 治疗（包含吸入长效支气管扩张剂及ICS治疗等）但各种抗原抗体复合物，进而提高机体抗病能力...
肺炎,吸入性糖皮质激素,...重与其他疾病的鉴别诊断分类 疾病 辅助检查 鉴别要点最常见 肺炎 胸部影像学 发热，听诊有啰音或支气管呼吸音，线胸片显示可疑...
心力衰竭,激动剂,心血管不良反应（心肌梗塞、心绞痛、高血压、房颤、心力衰竭、心血管死亡、QT延长、全身性栓塞、中风等）需予以特别关注，并应进行密切监测、评估和说明，尤其是在联合使用长效β 激动剂+抗胆碱药的情况下。
慢性阻塞性肺疾病,线胸片,"... J Gen Pract, June, Vol., No.表慢性阻塞性肺疾病（慢阻肺）急性加重与其他疾病的鉴别诊断分类 疾病 辅助检查 鉴别要点最常见 肺炎 胸部影像学 发热，听诊有啰音或支气管"
肺结核,线胸片,肺功能检查可出现阻塞性通气功能障碍肺结核 所有年龄均可发病， 线胸片示肺浸润性病灶或结节状、空洞样改变，痰或支气管镜下肺部灌洗标...
支气管哮喘,LABA联合LAMA,合并LABA+LAMA ICS+LABAICS+LABA+LAMA 哮喘的患者和近 年发生过 次急A B 性加重且血 个 的患者或 次急性加重并且 一种支气管舒张剂 一种长效支气管舒张剂（ EOS ≥
支气管哮喘,ICS联合LABA,合并LABA+LAMA ICS+LABAICS+LABA+LAMA 哮喘的患者和近 年发生过 次急A B 性加重且血 个 的患者或 次急性加重并且 一种支气管舒张剂 一种长效支气管舒张剂（ EOS ≥
支气管哮喘,长效毒蕈碱拮抗剂,... 次急A B 性加重且血 个 的患者或 次急性加重并且 一种支气管舒张剂 一种长效支气管舒张剂（ EOS ≥/μlLABA 建议升...
支气管哮喘,支气管舒张剂,"... 心悸、 , 、 、等因素是 的重要诱因 近年来 嗜酸粒 对支气管舒张剂的需求增加AECOPD 。"
支气管哮喘,长效β2受体激动剂,... 次急A B 性加重且血 个 的患者或 次急性加重并且 一种支气管舒张剂 一种长效支气管舒张剂（ EOS ≥/μlLABA 建议升...
支气管炎,ICS联合LABA,...呼吸困难或运动受限 添加罗氟司特（针对 占预计值 ［ ］、慢ICS+LABA FEV%<%的 患 者 ，推 荐 升 级 至 三 联 疗 法（ 性支气管炎且近 年来至少出现 次急性加重住ICS+L
慢性阻塞性肺疾病,黏液溶解剂,()氨溴索：是目前临床应用最广泛的黏液动 明以黏液溶解剂为代表的祛痰类药物可降低慢阻肺力药，可刺激呼吸道表面活性剂的...
肺炎,支气管舒张剂,"吸入支气管舒张剂 如果以前没有卧床 需能的预防 通常是可以预;() , AECOPD AECOPD在室内行走 能够进食 且呼吸困难程度不影 防的 戒烟 流感疫苗接种和肺炎球菌疫苗接种;() , 。"
肺炎,线胸片,...重与其他疾病的鉴别诊断分类 疾病 辅助检查 鉴别要点最常见 肺炎 胸部影像学 发热，听诊有啰音或支气管呼吸音，线胸片显示可疑浸润性阴影，白细胞增多，反应蛋白和降钙素原水平增高；
慢性阻塞性肺疾病,茶碱类药物,...液免疫和细胞免疫水平、纠正免疫功能紊乱， 用该药物，且不应与茶碱类药物同时应用［］。
肺栓塞,糖皮质激素,"（）家庭 雾化或口服糖皮质激素.
或社区支持不足 有抗菌治疗指征者，在评估病原体、采样后应用抗菌药物有指征者，建议使用无创通气动态监测液体、电解质和酸碱平衡预防深静脉栓塞症评估和处理合并症（如心力衰竭"
肺栓塞,抗菌药物,"...
或社区支持不足 有抗菌治疗指征者，在评估病原体、采样后应用抗菌药物有指征者，建议使用无创通气动态监测液体、电解质和酸碱平衡预防深静脉栓塞症评估和处理合并症（如心力衰竭、心律失常、肺栓塞等）符合"
心血管疾病,支气管舒张剂,...病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养不良和骨骼肌功能障占预计值百分比（使用肺功能分级 气流受限严重程
心血管疾病,糖皮质激素,...入［缺血性心脏病：慢阻肺患者常合并缺血性心长效支气管舒张剂和糖皮质激素联合吸入［］、抗 脏病，但临床上漏诊很常见。
心血管疾病,长效β2受体激动剂,慢阻肺患者缺血性心脏病的治‐次数的预防措施疗，应按照缺血性心脏病指南进行，无论是治疗心支气管舒张剂LABA 绞痛或是心肌...
心血管疾病,长效毒蕈碱拮抗剂,慢阻肺患者缺血性心脏病的治‐次数的预防措施疗，应按照缺血性心脏病指南进行，无论是治疗心支气管舒张剂LABA 绞痛或是心肌...
心血管疾病,LABA联合LAMA,...措施疗，应按照缺血性心脏病指南进行，无论是治疗心支气管舒张剂LABA 绞痛或是心肌梗死，应用高选择性 受体阻滞剂治LAMA β疗是安全的，如...
心血管疾病,吸入性糖皮质激素,慢阻肺患者缺血性心脏病的治‐次数的预防措施疗，应按照缺血性心脏病指南进行，无论是治疗心支气管舒张剂LABA 绞痛或是心肌...
心血管疾病,ICS联合LABA,...应用指证，则获益多于潜在风LABA+LAMA包含 的复合制剂ICS ICS+LABA 险［］，同时亦应遵循慢阻肺的治疗常规。
心肌梗死,支气管舒张剂,...‐次数的预防措施疗，应按照缺血性心脏病指南进行，无论是治疗心支气管舒张剂LABA 绞痛或是心肌梗死，应用高选择性 受体阻滞剂治LAMA β疗是安全的，如有应用...
心力衰竭,黏液溶解剂,"抑制剂 罗氟司特PDE‐β抗氧化剂和黏液溶解剂 乙酰半胱氨酸 心力衰竭：慢阻肺患者收缩性或舒张性心力N‐.
羧甲司坦衰竭的患病率为..."
心力衰竭,羧甲司坦,"...制剂 罗氟司特PDE‐β抗氧化剂和黏液溶解剂 乙酰半胱氨酸 心力衰竭：慢阻肺患者收缩性或舒张性心力N‐.
羧甲司坦衰竭的患病率为 ，年发病率为厄多司坦%~%%~［ ］。"
肺癌,ACEI,...询问 体格检查等症状或原有咳嗽性质发生改变的患者，应高度怀疑肺癌的可能，进一步进行影像学检查和支气管镜 相应检查 是否服用 是 停用ACEI ACEI检查。
支气管哮喘,线胸片,...治疗指南（ 版）［］中，病史和家族史者应注意排除过敏性鼻炎和支气管除了 线胸片以外，肺通气功能 激发试验与诱导哮喘（哮喘）相关的咳嗽。
阻塞性睡眠呼吸暂停,吸入性糖皮质激素,ICSOSA酸粒细胞比例与血嗜酸粒细胞比例并不平行，这一多数慢性咳嗽患者无异常体征。
变应性鼻炎,激动剂,激动剂）的复方制剂，如布地奈德福莫特罗（//（）变应性鼻炎患者首选鼻腔吸入糖皮质激素 ，次 ；
变应性鼻炎,糖皮质激素,激动剂）的复方制剂，如布地奈德福莫特罗（//（）变应性鼻炎患者首选鼻腔吸入糖皮质激素 ，次 ；
鼻窦炎,吸入性糖皮质激素,少数 治疗效果欠佳者，/d CVA ICS（）慢性鼻窦炎： 使用白三烯受体拮抗剂治疗可能有效。
支气管哮喘,减充血剂,...无明显喘息、气促等症状，但存在气推荐首选口服第一代抗组胺药和减充血剂治 道高反应性。
支气管扩张,线胸片,...气 （）变应原皮试和血清 检查：用于检测患CTIgE管狭窄、支气管扩张等，对于一些少见的慢性咳嗽 者是否存在特应质和确定变应原类型，有助于变应病因，如支气管结石、复发性多软骨炎、支气管异 性疾病
结核中毒症状,糖皮质激素,热、盗汗、消瘦等结核中毒症状，部分患者咳嗽是其治疗：糖皮质激素或抗组胺药物治疗有效。
结核中毒症状,抗组胺药物,热、盗汗、消瘦等结核中毒症状，部分患者咳嗽是其治疗：糖皮质激素或抗组胺药物治疗有效。
慢性支气管炎,线胸片,...不良事件少，建议莫西 别是高分辨率 ）显示支气管病变征象较 线胸片CT X沙星作为慢性支气管炎急性发作时的主要治疗药 更为敏感，尤其能显示叶以下支气管的病...
肺癌,线胸片,肺癌咳嗽的治疗关键在于原发灶，放疗、化 否疗、射频消融术及手术切除肺部肿瘤能够缓解肺癌 明显病变 线胸片 咳嗽持续患者的咳嗽症状。
肺癌,支气管舒张剂,...心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养不良和骨骼肌功能障占预计值百分比（使用肺功能分级 气流受限严重程度 FEV支气管舒张剂后）碍等。
心力衰竭,线胸片,肺功能检查多为可逆性气流受限充血性心力衰竭 线胸片示心脏扩大、肺水肿，心脏病史、心电图、超声心动图、型利钠肽等...
呼吸衰竭,短效β2受体激动剂,...素可缩短康复时间，改善肺功能和氧合，降助于慢阻肺急性加重患者呼吸衰竭的诊断。
支气管扩张,糖皮质激素,...CAT等量表结合COPD急性加重次数及严重程度（轻度仅需短效支气管扩张剂治疗、中度使用短效支气管扩张剂并加用抗生素和/或ICS（吸入糖皮质激素）、重度需要住院或急诊、ICU治疗）对患者症状及急性
支气管扩张,支气管舒张剂,支气管扩张症患 目前，慢性气道炎症性疾病如慢阻肺及哮喘的者的气道黏膜纤毛的活动性下降，排痰能力也随之 治疗主要以支气管舒张剂、吸人性糖皮质激素抗炎下降，同时其分泌的黏液理化I生质也发生...
支气管哮喘,羧甲司坦,对于哮喘患者，羧甲司坦述类祛痰类药物及其可能的作用机制见表。
变应性鼻炎,线胸片,...变应病因，如支气管结石、复发性多软骨炎、支气管异 性疾病［如变应性鼻炎和变应性咳嗽（ ，atopiccough物、早期间质性肺疾病等， 线胸片不易发现此类 ）］的诊断。
支气管炎,抗组胺药物,...组胺药：减充血剂与第一 外证据表明，抗菌药物治疗对急性气管 支气管炎A‑代抗组胺药物联合应用能明显缓解咳嗽，改善打喷 患者的咳嗽缓解、病程无明显...
支气管扩张,ICS联合LABA,（）诱 定期支气管扩张症患者，推荐联合吸入ICS+LABA导痰嗜酸粒细胞不增高。
慢性支气管炎,他汀类药物,他汀类药物［ ］、甘露醇吸入也可能有助‑在社区流行病学调查中，慢性支气管炎是常 于支气管扩张症治疗，但不推荐常规临床应见疾病，然而在专...
支气管扩张,他汀类药物,他汀类药物［ ］、甘露醇吸入也可能有助‑在社区流行病学调查中，慢性支气管炎是常 于支气管扩张症治疗，但不推荐常规临床应见疾病，然而在专科门诊诊治的慢性咳...
鼻窦炎,ACEI,...临床表现为慢性咳嗽、大 咳嗽是 类降压药物的常见不良反应，发ACEI量咳脓痰及间断性咯血，常合并慢性鼻窦炎。
糖尿病,抗胆碱能药物,在中国慢阻肺 长效抗胆碱能药物（ ）可考虑作为慢阻肺患者. LAMA已成为与高血压和糖尿病“等量齐观”的最常见慢性疾 的起始治疗单药：存在持续的呼吸系...
糖尿病,长效毒蕈碱拮抗剂,...能药物（ ）可考虑作为慢阻肺患者. LAMA已成为与高血压和糖尿病“等量齐观”的最常见慢性疾 的起始治疗单药：存在持续的呼吸系...
肺炎,长效毒蕈碱拮抗剂,肺炎球菌LAMA/LABA ICS/LABA ICS/被证实是降...
肺炎,长效β2受体激动剂,肺炎球菌LAMA/LABA ICS/LABA ICS/被证实是降...
肺动脉高压,糖皮质激素,...结合方案干预慢阻肺并发症（呼吸衰西医结合治疗，可能会减少全身糖皮质激素用量， 竭、肺动脉高压）的疗效与安全性如何？
呼吸衰竭,线胸片,"...受药物治疗 包括, , AECOPD ,杂气胸 新发生的严重呼吸衰竭 线胸片可疑支 使用支气管舒张剂 糖皮质激素和口服抗菌药物, ,X ..."
肺炎,LABA联合LAMA,有增加肺炎、活动性肺LABA+LAMA+ICS ICS（）支气管舒张剂是慢阻肺的基础治疗药物， 结核...
支气管扩张,长效β2受体激动剂,...antagonist LAMA MLAMA受体分离，从而延长支气管扩张作用时间超过 提示 的使用在急性加重高风险且高 这一MICS...
支气管扩张,长效毒蕈碱拮抗剂,...antagonist LAMA MLAMA受体分离，从而延长支气管扩张作用时间超过 提示 的使用在急性加重高风险且高 这一MICS...
心力衰竭,吸入药物,...包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症也是加重呼吸道症状的...
肺栓塞,吸入药物,...包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症也是加重呼吸道症状的常见原因知晓减少慢...
慢性支气管炎,长效毒蕈碱拮抗剂,...LABA或LAMA）以及LABA+ICS，此外在是否同时患有慢性支气管炎、外周血嗜酸性粒细胞水平高低、近期是否发生过急性加重事件等细...
慢性支气管炎,吸入性糖皮质激素,...LABA或LAMA）以及LABA+ICS，此外在是否同时患有慢性支气管炎、外周血嗜酸性粒细胞水平高低、近期是否发生过急性加重事件等细...
慢性阻塞性肺疾病,联合制剂,...在多项指南[，，]中推荐用于慢阻肺稳定期（肺素与支气管舒张剂联合制剂、化痰剂等，能缓解临床症 脾气虚）的治疗。
肺动脉高压,长效毒蕈碱拮抗剂,...物、升级药物治疗方案至LAMA+LABA、实施或升级非肺合并肺动脉高压患者周，记录不良反应包括血氧 药物治疗措施，检查有无其他原因...
肺动脉高压,长效β2受体激动剂,...物、升级药物治疗方案至LAMA+LABA、实施或升级非肺合并肺动脉高压患者周，记录不良反应包括血氧 药物治疗措施，检查有无其他原因...
心血管疾病,他汀类药物,...节药物多项人群研究表明，慢阻肺尤其是老年慢阻肺患者 . . 他汀类药物（推荐等级：C） 他汀类药物主接种流感疫苗多年后缺血性心脏病...
心力衰竭,长效β2受体激动剂,...颤、头晕和头疼，罕见不良反应包括心律失常、异常支气管痉挛以及心力衰竭人群的氧耗增加，与利尿剂等药物存在相互作用等；
慢性支气管炎,长效β2受体激动剂,...LABA或LAMA）以及LABA+ICS，此外在是否同时患有慢性支气管炎、外周血嗜酸性粒细胞水平高低、近期是否发生过急性加重事件等细...
