head,tail,context
支气管哮喘,细菌感染,"...性阻塞性肺疾病肺部疾病病史 如曾疑似哮喘见触发因素 下呼吸道细菌感染 空气污染和寒冷 ,, 、 评估全身性并发症 药物使用及依从性 如胸痛 下肢水肿 心悸、 , 、 、等因素是 的重要诱因 近年"
支气管炎,激动剂,...咳嗽，感染因素依旧存在，可能需要抗感染治疗，前，伴喘息的急性支气管炎成人患者，使用 受体 建议考虑此部分患者转诊至专科医院，明确其感染激动剂可能受益。
支气管炎,抗感染,未得到病原菌阳性结果 性咳嗽，感染因素依旧存在，可能需要抗感染治疗，前，伴喘息的急性支气管炎成人患者，使用 受体 建议考虑此部分患者转诊至专科医院，明确...
鼻窦炎,抗菌药物,细菌性鼻窦炎多为混合感染，抗菌药物应覆 （）中医认为 多与风邪犯肺、肺气失宣有①CVA盖革兰阳...
鼻窦炎,混合感染,细菌性鼻窦炎多为混合感染，抗菌药物应覆 （）中医认为 多与风邪犯肺、肺气失宣有①CV...
阻塞性睡眠呼吸暂停,ACEI,引起咳嗽的独立危险因素包括：吸烟悬雍垂过长、阻塞性睡眠呼吸暂停% ACEI史、 引起咳嗽的既往史、东亚人（华人）等，与 气管疾病 气管...
阻塞性睡眠呼吸暂停,吸烟,引起咳嗽的独立危险因素包括：吸烟悬雍垂过长、阻塞性睡眠呼吸暂停% ACEI史、 引起咳嗽的既往史、东亚人（华人）等，与 气...
支气管扩张,细菌感染,肺功能检查提示限制性通气功能障碍支气管扩张症 大量脓痰，部分患者可表现为咯血，常伴有细菌感染，听诊可闻及粗湿啰音，可见杵状指， 线胸片或 示支气管扩X ...
肺炎,细菌感染,阻肺急性加重患者合并细菌感染时最常见的临床 中西医结合治疗急性呼吸衰竭可能有助于提高总证候，针对痰热壅肺证患者，在西医规范治疗基础 有效率、撤机成功率、改善血氧和二氧化碳分压、上，酌情加用清热化痰类中
心力衰竭,呼吸道感染,...的诱发因素，并积极采取行动和措施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心
肺栓塞,肺功能,引起相似症状的其他疾病，如肺炎、肺栓塞、心力衰 （）肺功能测定：不推荐慢阻肺患者在急性加竭等。
心力衰竭,CT,"...加重风险与严重程度 并借助客观检查进一步 水平升高有助于鉴别心力衰竭引起, NT-proBNP)确定如胸部CT肺气肿气道壁增厚及慢性支气 的急性呼吸困难[]。"
心力衰竭,吸烟,...施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或
支气管哮喘,气候变化,哮喘患者的气道黏液纤毛清除功能较对照 其在遇到刺激物、气候变化及感染加重时尤为明显。
鼻窦炎,抗感染,诊断：根据慢性咳嗽病史、支气管激发试验‑细菌性鼻窦炎多为混合感染，抗感染是重要治疗措 和抗哮喘治疗有效综合分析作出诊断。
支气管哮喘,混合感染,诊断：根据慢性咳嗽病史、支气管激发试验‑细菌性鼻窦炎多为混合感染，抗感染是重要治疗措 和抗哮喘治疗有效综合分析作出诊断。
支气管哮喘,抗感染,诊断：根据慢性咳嗽病史、支气管激发试验‑细菌性鼻窦炎多为混合感染，抗感染是重要治疗措 和抗哮喘治疗有效综合分析作出诊断。
支气管扩张,ACEI,支气管扩张和管腔变形，支气管扩张症的主要病变 （四） 和其他药物诱发的咳嗽ACEI部位为亚段支气管。
支气管哮喘,空气污染,"...疾病肺部疾病病史 如曾疑似哮喘见触发因素 下呼吸道细菌感染 空气污染和寒冷 ,, 、 评估全身性并发症 药物使用及依从性 如胸痛 下肢水肿 心悸、 , 、 、等因素是 的重要诱因 近年来 嗜酸粒"
糖尿病,吸烟,...患病高风险人群 凡有慢阻肺危险结合中国的临床实际，参考近年来糖尿病和高脂血症 因素如年龄≥ 岁、早产、出生低体质量、儿童时等慢性疾病管理的临床经验，邀请多位慢阻肺专家 期反复发生下呼吸道感染、中
贫血,肺功能,确定有无感染，有信心 有无贫血，合并其他血液疾病等我睡得好、、、、、因为我有肺病我 肺功能检查 含支气管舒张试验。
支气管哮喘,污染物,...恶化，同时可伴有呼您父母、兄弟姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气管炎、肺气肿或慢阻肺诱因所致的肺部和全身炎症反应...
支气管炎,污染物,...有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气管炎、肺气肿或慢阻肺诱因所致的肺部和全身炎症反应增加有关［］。
流行性感冒,呼吸道感染,嗽主要包括急性上呼吸道感染 ( 包括普通感冒、年月日在中华中医药学会、世界中医药学会流行性感冒、急性咽喉炎、鼻炎、副鼻窦炎等)联合会于武汉举办的肺系病学术...
呼吸衰竭,细菌感染,阻肺急性加重患者合并细菌感染时最常见的临床 中西医结合治疗急性呼吸衰竭可能有助于提高总证候，针对痰热壅肺证患者，在西医规范治疗基础...
支气管扩张,抗感染,初始经验性抗感染药物的选择推荐参考 行调整[] 对于合并肺炎或支气管扩张症的AECOPD 。
糖尿病,吸烟史,...括年≥.mmol/L量异常，即口服 葡萄糖负荷后 血糖 龄、吸烟史、慢阻肺家族遗传倾向、低出生体重、儿gh ≥即可诊断 型糖尿病，并不要求患者一 童时期下呼吸道感染、特应性，甚至出现某些呼...
肺结核,LABA联合LAMA,感染或近期有肺结核感染的患者，应谨慎使用LABA+LAMA长效 受体激动剂（ ， ［ ］。
肺结核,激动剂,感染或近期有肺结核感染的患者，应谨慎使用LABA+LAMA长效 受体激动剂（ ， ［ ］。
心力衰竭,空气污染,...：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症
肺栓塞,吸烟,...施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或
肺栓塞,空气污染,...：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症
慢性支气管炎,生物制剂,...A+ICS ICS出院早期的 患者，仍处于急性加 （ 且患有慢性支气管炎）或阿奇霉素（既AECOPD FEV<%重 稳定期的过渡期，易出现病情反复、诱发心血管 往吸烟患者），也可尝试生物制剂。
呼吸衰竭,抗感染,推荐意见：对慢阻肺急性加重期合并呼吸衰竭且推荐意见：对于慢阻肺急性加重期合并呼吸衰竭， 存在有创机械通气指征，兼咳嗽、憋喘、心慌、面色苍兼发热、咳嗽、咯痰不利、舌红、苔黄的患者，在间断 白、四肢冰冷、
呼吸衰竭,呼吸道感染,呼吸衰竭的血气诊断标准为海平面呼气体接触史;有家族聚集倾向;多于中年以后发病，好发于秋 吸空气时动脉血氧分压(PaO ) ＜mmHg(mmHg≈.冬寒冷季节，常有反复呼吸道感染及急性加重史。
