head,tail,context
羧甲司坦,呼吸困难,...护理计划安排妥当 如随访基 气管舒张剂 吸入糖皮质激素对改善呼吸困难症状;() ( 、层社区医师家庭医疗等与肺功能减少急性加重有益[]口服乙酰半患者出院时 应该已明确制定了有 胱氨酸 羧甲司坦等
支气管舒张剂,气虚,...荐意见 推荐级别 证据等级稳定期 改善生活 慢阻肺稳定期 肺气虚证：易感冒，反复急性 参考GOLD治疗策略：联合玉屏风颗粒 强推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒
联合制剂,气虚,...在多项指南[，，]中推荐用于慢阻肺稳定期（肺素与支气管舒张剂联合制剂、化痰剂等，能缓解临床症 脾气虚）的治疗。
长效毒蕈碱拮抗剂,气虚,根据患者急性加重可治疗特征升级治疗方案为 气虚证患者治疗个月可显著降低年内急性加重次数LAMA+LABA或...
长效β2受体激动剂,气虚,根据患者急性加重可治疗特征升级治疗方案为 气虚证患者治疗个月可显著降低年内急性加重次数LAMA+LABA或...
吸入性糖皮质激素,气虚,根据患者急性加重可治疗特征升级治疗方案为 气虚证患者治疗个月可显著降低年内急性加重次数LAMA+LABA或...
吸入性糖皮质激素,喘息,...质稀，于EOS水平指导ICS的联 联合固肾定喘丸 弱推荐 D喘息、活动后加重，腰膝酸痛 合治疗；
吸入药物,气虚,...荐意见 推荐级别 证据等级稳定期 改善生活 慢阻肺稳定期 肺气虚证：易感冒，反复急性 参考GOLD治疗策略：联合玉屏风颗粒 强推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒
吸入药物,肺脾气虚,...D治疗策略：联合玉屏风颗粒 强推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以L...
吸入药物,喘息,...D治疗策略：联合玉屏风颗粒 强推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以LABA+LAMA劳，伴
LABA联合LAMA,气虚,...荐意见 推荐级别 证据等级稳定期 改善生活 慢阻肺稳定期 肺气虚证：易感冒，反复急性 参考GOLD治疗策略：联合玉屏风颗粒 强推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒
LABA联合LAMA,肺脾气虚,...患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以LABA+LAMA劳，伴食欲减退作为初始治疗选择，同时基肺肾两虚证：
LABA联合LAMA,喘息,...虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以LABA+LAMA劳，伴食欲减退作为初始治疗选择，同时基肺肾两虚证：咳嗽、痰白质稀，于EOS水平指导ICS的联 联合固肾定喘丸 弱推荐
吸入性糖皮质激素,肺脾气虚,...患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以L...
抗胆碱能药物,喘息,（）将短效吸入性 β受外寒内饮证：咳嗽，喘息，胸 体激动剂（联合或不联合短 联合小青龙汤 弱推荐 专家共识闷，痰稀薄、量多，易咯出，效抗胆碱能药物）作为急性恶寒，舌苔白滑 加重的初始支气管舒张剂治疗；
