head,tail,context
心力衰竭,心绞痛,...动）急性冠状动脉综合征 心电图 呼吸困难加剧、胸痛、新发现的心力衰竭体征、心脏生物标志物水平肌钙蛋白 升高；
肺癌,抑郁症,...心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养不良和骨骼肌功能障占预计值百分比（使用肺功能分级 气流...
肺癌,焦虑症,...心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养不良和骨骼肌功能障占预计值百分比（使用肺功能分级 气流...
心血管疾病,焦虑症,...病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养...
心血管疾病,抑郁症,...病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养...
骨质疏松症,焦虑症,危害（ ）：使吸烟者认识② Risk病）、骨骼肌功能障碍、骨质疏松症、焦虑 抑郁、睡 到吸烟的严重健康危害。
骨质疏松症,抑郁症,危害（ ）：使吸烟者认识② Risk病）、骨骼肌功能障碍、骨质疏松症、焦虑 抑郁、睡 到吸烟的严重健康危害。
流行性感冒,焦虑症,流行性感冒（流感）疫苗接种可肺患者焦虑抑郁症状，增加患者治疗依从性［ ...
流行性感冒,抑郁症,流行性感冒（流感）疫苗接种可肺患者焦虑抑郁症状，增加患者治疗依从性［ ］；
肺栓塞,胸腔积液,...吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症也是加重呼吸道症状的常见原因知晓减少慢...
心肌梗死,心绞痛,...氟司特）［ ］、大环内酯类 高风险患者发生心血管事件（死亡、心肌梗死、卒PDE‐抗生素［ ］及对维生素 重度缺乏患者给予补充维 中、不稳定心绞痛、短暂性脑缺血发作）的风险增生素 ［］能有效预防慢
肺癌,心绞痛,...应 必须看到 临床评估和治疗中存在的一些问ACO高度警惕合并肺癌的可能：不明原因的发热、乏力、 题：（） 的病情评估是按照慢...
心血管疾病,代谢综合征,...病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养不良和骨骼肌...
肺癌,代谢综合征,...慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养不良和骨骼肌功能障占预计值百分比（使用肺功能分级 气流...
肺炎,胸腔积液,...肿大、杵状 分组方法，还是按照哮喘病情控制水平进行评估指趾、胸腔积液、阻塞性肺炎、阻塞性肺不张、阻塞 呢？
心力衰竭,胸腔积液,...吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症也是加重呼吸道症状的...
呼吸衰竭,胸腔积液,"...受药物治疗 包括, , AECOPD ,杂气胸 新发生的严重呼吸衰竭 线胸片可疑支 使用支气管舒张剂 糖皮质激素和口服抗菌药物, ,X 、气管扩张症 肺不张 胸腔积液 心包积液 肺部 等[] 级"
肺结核,代谢综合征,"...a October,,Vol.,No.阻肺很容易合并糖尿病、代谢综合征，而患糖尿病 须正视和重视慢阻肺与其发生的各种合并症之间后则容易并发肺结核。"
肺癌,胸腔积液,...应 必须看到 临床评估和治疗中存在的一些问ACO高度警惕合并肺癌的可能：不明原因的发热、乏力、 题：（） 的病情评估是按照慢阻肺的 、、、ACOS A B C消瘦、胸痛、咯血、声音嘶哑、浅表淋巴
支气管哮喘,胸腔积液,...肿大、杵状 分组方法，还是按照哮喘病情控制水平进行评估指趾、胸腔积液、阻塞性肺炎、阻塞性肺不张、阻塞 呢？
肺炎,心绞痛,...方法，还是按照哮喘病情控制水平进行评估指趾、胸腔积液、阻塞性肺炎、阻塞性肺不张、阻塞 呢？
