head,tail,source,doc
烟草烟雾,支气管哮喘,,
病毒感染,呼吸衰竭,cooccurrence,38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁_cleaned.txt
病毒感染,心力衰竭,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
病毒感染,慢性阻塞性肺疾病,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
空气污染,慢性阻塞性肺疾病,,
粉尘,心血管疾病,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
粉尘,慢性阻塞性肺疾病,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
粉尘,肺动脉高压,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
细菌感染,呼吸衰竭,cooccurrence,38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁_cleaned.txt
细菌感染,慢性阻塞性肺疾病,,
细菌感染,支气管扩张,,
细菌感染,气道炎症,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
细菌感染,肺炎,,
遗传,慢性支气管炎,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
遗传,慢性阻塞性肺疾病,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
