head,tail,relation,context
支气管哮喘,慢性咳嗽,疾病-症状,随着慢阻肺规范化诊疗与全病程管理的推行，哮喘是由多种细胞以及细胞组分参与的慢性 年我国慢阻肺死亡率显著下降，年龄标准化气...
支气管炎,慢性咳嗽,疾病-症状,...哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气管炎、肺气肿或慢阻肺诱因所致的肺部和全身炎症反应增加有关［］。
心肌梗死,慢性咳嗽,疾病-症状,... （二）急性气管 支气管炎能是少数严重疾病的征象之一，如急性心肌梗死、 急性气管 支气管炎是由生物性或非生物性因左心功能不全、肺...
肺栓塞,慢性咳嗽,疾病-症状,...管 支气管炎是由生物性或非生物性因左心功能不全、肺炎、气胸、肺栓塞及异物吸入。
支气管哮喘,喘息,疾病-症状,...亡率显著下降，年龄标准化气道炎症性疾病，临床表现为反复发作的喘息、气 死亡率和 率相较 年分别降低了DALY.%急，伴或不伴...
支气管扩张,慢性咳嗽,疾病-症状,大环内酯类药物有助于改善稳定‑~dCB十、其他慢性咳嗽病因的诊断与治疗 期支气管扩张症患者症状，减少急性加重风险，但（一）慢性支气管炎（ ） 要...
结核中毒症状,慢性咳嗽,疾病-症状,其主要症状为慢性咳嗽，可伴有低嗽伴咳痰与其急性加重率增加、病死率增加 热、盗汗、消痩等结核中毒症状，部分患者咳嗽是其相关［ ］。
支气管哮喘,胸闷,疾病-症状,...、气 死亡率和 率相较 年分别降低了DALY.%急，伴或不伴胸闷或咳嗽等症状，同时伴有气道高 和 ，但发病率和患病率分别增加...
支气管哮喘,咳痰,疾病-症状,...急性加重风险评估 患者在最近 d内出否现呼吸困难和/或咳嗽、咳痰的恶化，同时可伴有呼您父母、兄弟姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支
阻塞性睡眠呼吸暂停,失眠,疾病-症状,"... Gen Pract, June, Vol., No.（九）阻塞性睡眠呼吸暂停（ 一、治疗目标obstructive sleep， ）和失眠 慢阻肺稳定期治疗目标是减轻当前症状和降apnea O"
慢性阻塞性肺疾病,中成药,疾病-症状,...虚证 于改善慢阻肺稳定期患者的焦虑、抑郁状态有较好疗效，但候中成药予百令胶囊［-，-］治疗可延缓肺功能下降( 推荐 目前文献证据质量相对较低，或是文献量偏少，甚至缺少文樊长征等:慢性阻塞性肺疾病
支气管扩张,咳痰,疾病-症状,...有助于改善稳定‑~dCB十、其他慢性咳嗽病因的诊断与治疗 期支气管扩张症患者症状，减少急性加重风险，但（一）慢性支气管炎（ ） 要注意长期应用导致的细菌耐药性及药物不良反chronicbronc
支气管扩张,呼吸困难,疾病-症状,...消炎丸具有清肺化痰，止咳平喘之痰多，舌红苔黄的患者，在氧疗、支气管扩张剂、抗感 功效，可有效缩短慢阻肺患者咳嗽、咳痰、喘息持续时染、营养支持、化痰治疗基础上，推荐联合使用桂龙咳 间，缓解呼吸困难
变应性鼻炎,慢性咳嗽,疾病-症状,...查：用于检测患CTIgE管狭窄、支气管扩张等，对于一些少见的慢性咳嗽 者是否存在特应质和确定变应原类型，有助于变应病因，如支气管结石、复发性多软骨炎、支气管异 性疾病［如变应性鼻炎和变应性咳嗽（
非变应性鼻炎,慢性咳嗽,疾病-症状,是哮喘的一种特殊类型，咳嗽是其唯一或CVA（）病因治疗： 非变应性鼻炎以及普通感冒： 主要临床表现，无明显喘息、气促等症状，但存在...
鼻窦炎,慢性咳嗽,疾病-症状,"...鼻 临床表现：主要表现为刺激性干咳，通常咳③.
窦炎： 慢性鼻窦炎患者鼻窦分泌物细菌培养以 嗽比较剧烈，夜间及凌晨咳嗽为其重要..."
慢性支气管炎,慢性咳嗽,疾病-症状,‑能与目前慢性支气管炎的诊断缺乏客观标准，在 （三）气管 支气管结核（ ）‑ bronchialtuberculosis流行病学调查时易将许多其他病因引起的慢性咳 国内气管 支气管结核在慢性咳嗽中并不
糖尿病,慢性咳嗽,疾病-症状,...患病高风险人群 凡有慢阻肺危险结合中国的临床实际，参考近年来糖尿病和高脂血症 因素如年龄≥ 岁、早产、出生低体质量、儿童时等慢性疾病管理的临床经验，邀请多位慢阻肺专家 期反复发生下呼吸道感染、中
糖尿病,咳痰,疾病-症状,...患病高风险人群 凡有慢阻肺危险结合中国的临床实际，参考近年来糖尿病和高脂血症 因素如年龄≥ 岁、早产、出生低体质量、儿童时等慢性疾病管理的临床经验，邀请多位慢阻肺专家 期反复发生下呼吸道感染、中
支气管炎,呼吸困难,疾病-症状,... 是取暖吗 . 未来急性加重风险评估 患者在最近 d内出否现呼吸困难和/或咳嗽、咳痰的恶化，同时可伴有呼您父母、兄弟姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感
支气管炎,咳痰,疾病-症状,...急性加重风险评估 患者在最近 d内出否现呼吸困难和/或咳嗽、咳痰的恶化，同时可伴有呼您父母、兄弟姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支
肺癌,胸闷,疾病-症状,) 肺癌: 表现为刺激性呛咳，咳嗽顽固，持) 性质、声音: 咳声洪亮有力多为实证; 咳 续日久不愈，反复咯血痰，出现不明原因的低热、而声低气怯多为虚证; 咳声嘶哑多为燥咳; 咳声重 胸痛、胸闷短气，伴
肺癌,乏力,疾病-症状,) 肺癌: 表现为刺激性呛咳，咳嗽顽固，持) 性质、声音: 咳声洪亮有力多为实证; 咳 续日久不愈，反复咯血痰，出现不明原因的低热、而声低气怯多为虚证; 咳声嘶哑多为燥咳; 咳声重 胸痛、胸闷短气，伴
鼻窦炎,头痛,疾病-症状,鼻窦炎表现为黏液性或脓性浊涕，常伴咽 热化痰; 痰黄如脓或腥臭，加薏苡仁、冬瓜仁、金喉不利，可有疼痛( 耳面部痛、头痛) 、嗅觉障碍等。
肺炎,呼吸困难,疾病-症状,"...见AECOPD :AECOPD , AECOPD ,阻肺患者呼吸困难和 或 咳嗽 咳痰症状加重 的 种病原体是流感嗜血杆菌 卡他莫拉菌和肺炎( ) 、 ,、症状恶化发生在 内 可能伴有呼吸急促和"
肺炎,咳痰,疾病-症状,"...COPD , AECOPD ,阻肺患者呼吸困难和 或 咳嗽 咳痰症状加重 的 种病原体是流感嗜血杆菌 卡他莫拉菌和肺炎( ) 、 ,、症状恶化发生在 内 可能伴有呼吸急促和 链球..."
肺炎,心动过速,疾病-症状,"...咳嗽 咳痰症状加重 的 种病原体是流感嗜血杆菌 卡他莫拉菌和肺炎( ) 、 ,、症状恶化发生在 内 可能伴有呼吸急促和 链球菌 其次为铜绿假单胞菌 革兰阴性肠杆菌d , , 、 、或 心动过速 "
慢性阻塞性肺疾病,意识障碍,疾病-症状,",出现心动过速 全身不适 失眠 嗜睡 疲乏 抑 注 为慢性阻塞性肺疾病急性加重 为改良、 、 、 、 、 :AECOPD ;mMR..."
支气管哮喘,乏力,疾病-症状,...中存在的一些问ACO高度警惕合并肺癌的可能：不明原因的发热、乏力、 题：（） 的病情评估是按照慢阻肺的 、、、ACOS A ...
肺炎,乏力,疾病-症状,...中存在的一些问ACO高度警惕合并肺癌的可能：不明原因的发热、乏力、 题：（） 的病情评估是按照慢阻肺的 、、、ACOS A B C消瘦、胸痛、咯血、声音嘶哑、浅表淋巴结肿大、杵状 分组方法，还是
慢性阻塞性肺疾病,腹胀,疾病-症状,...吸兴奋剂治疗无效并具备气 照组，联合加味凉膈散能够改善患者的腹胀证候评分管插管指征的患者较对照组，可以有效减少有创机械通 （...
慢性支气管炎,咳痰,疾病-症状,存在慢性支气管炎图慢阻肺管理流程 的患者采用联合中药固本咳喘颗粒等治疗的临床研究已经完成，结果显示，联合固本咳喘颗粒可改善慢性支气管炎患者的咳嗽咳痰等症状、缩短急性加重持续时间。
慢性阻塞性肺疾病,自汗,疾病-症状,...SRS评分（MD -，%CI：-.~-.），改善患者悸气短、自汗盗汗等症状，缓解呼吸困难。
肺动脉高压,呼吸困难,疾病-症状,...物、升级药物治疗方案至LAMA+LABA、实施或升级非肺合并肺动脉高压患者周，记录不良反应包括血氧 药物治疗措施，检查有无其他原因引起的呼吸困难。
慢性阻塞性肺疾病,腹泻,疾病-症状,...反应，包括口级肺肾气虚证患者个月，较对照组显著提高MWT干、腹泻、恶心、心悸，治疗组与对照组比较，差异无 水平（MD.，%C...
慢性阻塞性肺疾病,气虚,疾病-症状,表中西医联合防治慢性阻塞性肺疾病临床应用指南推荐意见摘要分期/合并症 目的 适用人群 证候 西医基础治疗 推荐意见 推荐级别 证据等级稳定期 改善生活 慢阻肺稳定期 肺气虚证：易感冒，反复急性 参考G
慢性阻塞性肺疾病,头晕,疾病-症状,...昏或 二陈汤、全真一气汤、养阴清肺汤等有较好疗效，但目前文献头晕;⑥干咳或少痰、咯痰不爽;⑦盗汗;⑧手足心热;⑨舌质 证据质...
肺动脉高压,头晕,疾病-症状,...究[]无安全性报告，项研究[]报告未发生不良反应，慢阻肺合并肺动脉高压患者周，记录不良反应包括项研究[]报道，玉屏风颗粒组治疗周观察不良反血氧饱和度下降、胃肠道症状，与对照组比较，差异无 应包括
慢性阻塞性肺疾病,流清涕,疾病-症状,...贴敷、温针灸治疗可显著改善患者呼吸困难症 恶寒，发热，痰白，流清涕，肢体酸痛，舌苔薄白的患者，状和（或）运动耐量。
慢性阻塞性肺疾病,肢体酸痛,疾病-症状,...针灸治疗可显著改善患者呼吸困难症 恶寒，发热，痰白，流清涕，肢体酸痛，舌苔薄白的患者，状和（或）运动耐量。
支气管扩张,喘息,疾病-症状,推荐意见：对于慢阻肺急性加重期咳嗽、喘息、 推荐依据：清肺消炎丸具有清肺化痰，止咳平喘之痰多，舌红苔黄的患者，在氧疗、支气管扩张剂、抗感 功效，可有效缩短慢阻肺患者咳嗽、咳痰、喘息持续时染...
肺炎,意识障碍,疾病-症状,...疗例老年社推荐意见：对于慢阻肺急性加重期出现喘息气 区获得性肺炎患者~日，其中项研究（例）促，神志恍惚，肢体瘛疭甚则抽搐，嗜...
肺炎,腹泻,疾病-症状,...疗例老年社推荐意见：对于慢阻肺急性加重期出现喘息气 区获得性肺炎患者~日，其中项研究（例）促，神志恍惚，肢体瘛疭甚则抽搐，嗜睡、昏迷、谵妄， 报告出现恶心、呕吐、腹泻等胃肠道症状例，组间苔腻或黄
呼吸衰竭,腹胀,疾病-症状,...阻肺常见合并症，患者可表现为功效，可改善慢阻肺急性加重期合并呼吸衰竭患者的咳 恶心、呕吐、腹胀、腹痛等胃肠道症状，常与原有的呼嗽憋喘、四肢冰冷、精神萎靡症...
呼吸衰竭,乏力,疾病-症状,...的胃肠功能具有保护作用，较对照组可降低善慢阻肺急性加重期合并呼吸衰竭患者神疲乏力、心 GSRS评分（MD -，%CI：-.~-.），改善患者...
呼吸衰竭,自汗,疾病-症状,...的胃肠功能具有保护作用，较对照组可降低善慢阻肺急性加重期合并呼吸衰竭患者神疲乏力、心 GSRS评分（MD -，%CI：-.~-.），改善患者悸气短、自汗盗汗等症状，缓解呼吸困难。
慢性阻塞性肺疾病,肺脾气虚,疾病-症状,表中西医联合防治慢性阻塞性肺疾病临床应用指南推荐意见摘要分期/合并症 目的 适用人群 证候 西医基础治疗 推荐意见 推荐级别 证据等级稳定期 改善生活 慢阻肺稳定期 肺气虚证：易感冒，反复急性 参考G
慢性支气管炎,呼吸困难,疾病-症状,...这些例子可能有价值：如严重程度、气流阻塞可逆性程度、表型（即慢性支气管炎vs 肺气肿）、发作频率（即>-次/年）、呼吸困难的程度（如MRC≥）、氧疗需求、运动能力、BMI（如<）和/...
慢性支气管炎,喘息,疾病-症状,图慢性支气管炎、肺气肿、慢性阻塞性肺疾病和支气管哮喘的关系示意图表证据质量和推荐强度分级标准证据质量 证据等级 解释 慢性支气管炎是气管、支气管黏膜及其周围组证据来自高质量的随机对照试验（ ）或 织的
慢性支气管炎,胸闷,疾病-症状,ＣＯＰＤ及相关疾病如慢性支气管炎的证候分类和辨证规．．外寒内饮 主症：咳嗽，喘息气急，痰多，痰白稀薄、范［－］，对于提高临床辨证治疗水平具有一定的指导作用， 泡沫，胸闷，不能平卧，恶寒，舌苔白、滑，脉
肺动脉高压,意识障碍,疾病-症状,...偿时，患者可出现行为怪异、平滑肌肥大、增殖，共同参与了缺氧性肺动脉高压 谵妄、嗜睡甚至昏迷等肺性脑病的症状［ ］。
心血管疾病,呼吸困难,疾病-症状,modified， ）呼吸困难问卷 （四）合并症的评估Medical Research Council mMRC慢阻肺患者经常伴有其他慢性疾病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括
肺栓塞,呼吸困难,疾病-症状,...平衡预防深静脉栓塞症评估和处理合并症（如心力衰竭、心律失常、肺栓塞等）符合以下任意条，考虑入ICU治疗a：（）严重呼吸困难且对初始治密切监护生命体征；
流行性感冒,慢性咳嗽,疾病-症状,...染 ( 包括普通感冒、年月日在中华中医药学会、世界中医药学会流行性感冒、急性咽喉炎、鼻炎、副鼻窦炎等)联合会于武汉举办的肺系病学术...
慢性支气管炎,意识障碍,疾病-症状,难治性 可使用巴氯芬治疗，但存在 与目前慢性支气管炎的诊断缺乏客观标准，在流行GERC GERC着一定程度的嗜睡...
肺癌,呼吸困难,疾病-症状,modified， ）呼吸困难问卷 （四）合并症的评估Medical Research Council mMRC慢阻肺患者经常伴有其他慢性疾病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括
呼吸衰竭,喘息,疾病-症状,...度：患者需要住院或急诊、 治疗，重度. ICU促加重，常伴有喘息、胸闷、咳嗽加剧、痰量增加、痰急性加重可能并发急性呼吸衰竭。
呼吸衰竭,胸闷,疾病-症状,...者需要住院或急诊、 治疗，重度. ICU促加重，常伴有喘息、胸闷、咳嗽加剧、痰量增加、痰急性加重可能并发急性呼吸衰竭。
呼吸衰竭,咳嗽加剧,疾病-症状,...住院或急诊、 治疗，重度. ICU促加重，常伴有喘息、胸闷、咳嗽加剧、痰量增加、痰急性加重可能并发急性呼吸衰竭。
心力衰竭,心动过速,疾病-症状,... CT肺动脉造影 下肢多普勒超声、超声心动图联合检测. CT心力衰竭 胸部影像学 新出现的呼吸困难或呼吸困难加剧、心动过速、呼吸急促、端坐呼吸、下和 肢水肿和胸腔积液；
支气管扩张,中成药,疾病-症状,纳入标准：（）随机对照临床研I：中成药联合西医治疗（包括抗生素、支气管扩张 究，有明确的诊断标准，干预措施为中成药，或中成剂、糖皮质激...
支气管扩张,变应性咳嗽,疾病-症状,...气 （）变应原皮试和血清 检查：用于检测患CTIgE管狭窄、支气管扩张等，对于一些少见的慢性咳嗽 者是否存在特应质和确定变应原类型，有助于变应病因，如支气管结石、复发性多软骨炎、支气管异 性疾病
变应性鼻炎,变应性咳嗽,疾病-症状,...变应病因，如支气管结石、复发性多软骨炎、支气管异 性疾病［如变应性鼻炎和变应性咳嗽（ ，atopiccough物、早期间质性肺疾病等， 线胸片...
鼻窦炎症状,慢性咳嗽,疾病-症状,如有典型的鼻炎、鼻窦炎症状或鼻后滴流症 咳嗽敏感性检查：可用于疗效判断和咳嗽机状、体征...
支气管炎,头痛,疾病-症状,无发热、头痛、肌痛症状的普通感冒患者，不推荐使 伴咳喘的成人急性气管 支气管炎，建议使用 受‑ β用非甾体抗炎药物治疗［ ， ， ］（ ）...
非变应性鼻炎,喘息,疾病-症状,是哮喘的一种特殊类型，咳嗽是其唯一或CVA（）病因治疗： 非变应性鼻炎以及普通感冒： 主要临床表现，无明显喘息、气促等症状，但存在气推荐首选口服第一代抗组胺药和减充血剂治...
支气管哮喘,意识障碍,疾病-症状,若无第二代抗组胺 嗽优势型哮喘（ ， ），近coughpredominateasthma CPA药，第一代抗组胺药亦有同...
结核中毒症状,咳痰,疾病-症状,其主要症状为慢性咳嗽，可伴有低嗽伴咳痰与其急性加重率增加、病死率增加 热、盗汗、消痩等结核中毒症状，部分患者咳嗽是其相关［ ］。
糖尿病,呼吸困难,疾病-症状,...史（肺气肿、慢性支气管炎、慢阻肺、哮喘）版英国医学研究委员会呼吸困难量表，CAT=慢性阻塞性肺疾病评估共病（心血管病、糖尿病及代谢性疾病、肿瘤等）测试。
慢性阻塞性肺疾病,脉浮,疾病-症状,...苔薄黄， . . . 其他疗法 研究表明慢阻肺急性加重期针灸脉浮数或浮滑。
肺动脉高压,气虚,疾病-症状,肺动脉高压是慢阻肺进展为慢性肺源性心脏 本指南存在以下局限性：① 本指南工作组成病的根本原因，本病的病机为本虚邪实，以气虚为 员未纳入患者代表，未进行患者偏好与价值观的全主，兼有血瘀...
呼吸衰竭,意识障碍,疾病-症状,"... ,凝禁忌证 可给予低分子量肝素皮下注射 弱 昏迷 重度 型呼吸衰竭, 。"
慢性阻塞性肺疾病,祛邪,疾病-症状,另散，具有益气固表、扶正祛邪的功效，可改善慢阻肺项研究记录不良反应包括胸痛、疲劳、喘鸣和...
慢性阻塞性肺疾病,风寒袭肺,疾病-症状,...·呼吸系统疾病分册辨证论治(版) 》 COPD急性加重期常见风寒袭肺、外寒内饮、痰《中华人民共和国药典(年版) 》 热壅肺、痰浊阻肺、痰蒙神窍等证［-］，稳定期常见《慢性阻塞性肺疾病中医证候诊断
肺炎,喘息,疾病-症状,...联合清金化痰汤治疗例老年社推荐意见：对于慢阻肺急性加重期出现喘息气 区获得性肺炎患者~日，其中项研究（例）促，神志恍惚，肢体瘛疭甚则抽搐，嗜...
呼吸衰竭,头晕,疾病-症状,反应例，包括恶心、皮疹、呕吐、头晕、局部疼痛、GOLD[] 提出对于存在急性呼吸衰竭的慢阻 其他。
呼吸衰竭,慢性咳嗽,疾病-症状,推荐意见：对慢阻肺急性加重期合并呼吸衰竭且推荐意见：对于慢阻肺急性加重期合并呼吸衰竭， 存在有创机械...
右心衰竭,意识障碍,疾病-症状,可见球结膜水肿，严重者可出现意识障碍;伴有右心衰竭者符号、代号与缩略语 可见下肢水肿和肝脏增大。
支气管哮喘,气虚,疾病-症状,临床用于感冒后咳嗽，咳嗽反复发作及咳嗽变异型哮喘 肺气虚证候慢阻肺中成药予玉屏风颗粒( 胶囊、散)［-］治符合上述证...
支气管哮喘,中成药,疾病-症状,...于感冒后咳嗽，咳嗽反复发作及咳嗽变异型哮喘 肺气虚证候慢阻肺中成药予玉屏风颗粒( 胶囊、散)［-］治符合上述证候者。
呼吸衰竭,咳痰,疾病-症状,COPD患者常面临持续性咳嗽、咳痰、呼吸困难等症状，严重损伤患者的肺部，容易造成肺功能受损甚至呼吸衰竭。
心力衰竭,头晕,疾病-症状,LABA常见不良反应包括窦性心律过速、肌肉震颤、头晕和头疼，罕见不良反应包括心律失常、异常支气管痉挛以及心力衰竭人群的氧耗增加，与利尿剂等药物存在相互作用等；
慢性阻塞性肺疾病,戒烟,疾病-治疗,...（ ） 单落实出院管理核心措施，主要内VAS容包括药物治疗、戒烟、吸入器技术患者二氧化碳潴留及对更高的呼吸支持需求，但不评估...
支气管扩张,戒烟,疾病-治疗,轻度 COPD 患者一般采用短效支气管扩张剂进行按需治疗，并强烈建议戒烟。
慢性阻塞性肺疾病,无创通气,疾病-治疗,...用临床的选择性 抑制剂罗氟司特 呼吸康复治疗、家庭氧疗、家庭无创通气、疫苗、气PDE‐（ ）在亚洲人群中耐受性良好，口服罗氟 道...
慢性阻塞性肺疾病,阻抗训练,疾病-治疗,...液高分泌的慢阻肺患者，无论稳定期 局部肌肉群的一种运动方式，阻抗训练方式通常包评估分组如何，均可在起始治疗中加用祛痰剂。
慢性阻塞性肺疾病,肺减容手术,疾病-治疗,...肺的内科介入治疗是基息状态下，达到 和（或）使 达到 于外科肺减容术的原理和患者获益分析，为减少外PaO≥mmHg SaO，以维持...
慢性阻塞性肺疾病,手术切除,疾病-治疗,...volumereductionsurgery LVRS指通过手术切除部分气肿的肺组织来治疗慢阻肺 练［ ］、营养支持［ ］、氧疗...
呼吸衰竭,无创通气,疾病-治疗,在积可以产生一定水平的呼气末正压（平均为 极的药物和无创通气治疗后，若患者的呼吸衰竭仍），对慢阻肺急性加重患者的呼吸困难有一 进行性恶化，出现危...
心血管疾病,戒烟,疾病-治疗,‐‐危及生命的低氧血症，且患者不能耐受无创通气［（一）心血管疾病心血管疾病是慢阻肺常见和重要的合并慢阻肺急性加重的预防：减少急性加重频率症［ ， ， ］，主要包括缺血性心脏病、心力衰竭、心.的干预措施
心血管疾病,无创通气,疾病-治疗,‐‐危及生命的低氧血症，且患者不能耐受无创通气［（一）心血管疾病心血管疾病是慢阻肺常见和重要的合并慢阻肺急性加重的预防：减少...
心力衰竭,无创通气,疾病-治疗,‐‐危及生命的低氧血症，且患者不能耐受无创通气［（一）心血管疾病心血管疾病是慢阻肺常见和重要的合并慢阻肺急性加重的预防：减少急性加重频率症［ ， ， ］，主要包括缺血性心脏病、心力衰竭、心.的干预措施
心力衰竭,戒烟,疾病-治疗,心力衰竭加重需与慢阻肺急性加重进行鉴抗感染制剂 大环内酯类药物疫苗 流感疫苗、肺炎球菌疫苗 别，合并慢阻肺常是导致急性心力衰竭患者住院的其他 戒烟 原因。
肺炎,戒烟,疾病-治疗,...阻肺急性加重进行鉴抗感染制剂 大环内酯类药物疫苗 流感疫苗、肺炎球菌疫苗 别，合并慢阻肺常是导致急性心力衰竭患者住院的其他 戒烟 原因。
慢性阻塞性肺疾病,肺康复,疾病-治疗,...预措施（）提升自我管理效能（）长期规范使用吸入药物并积极进行肺康复等非药物治疗（）针对诱发因素的预防措施：一般措施：避免人群聚...
心力衰竭,肺康复,疾病-治疗,...、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症也是加重呼吸道症状的常见原因知晓减少慢阻肺急性加重的干预措施（）提升自我管理效能（）长
肺癌,手术切除,疾病-治疗,肺癌咳嗽的治疗关键在于原发灶的治 的慢性咳嗽病因检查，排除已知的慢性咳嗽病因，疗，放疗、化疗、射频消融术及手术切除肺部肿瘤能 针对慢性咳嗽病因治疗无效的情况下，方可考虑不够缓...
肺栓塞,肺康复,疾病-治疗,...停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症也是加重呼吸道症状的常见原因知晓减少慢阻肺急性加重的干预措施（）提升自我管理效能（）长期规范使用吸入药物并
支气管哮喘,戒烟,疾病-治疗,氨溴索还可通过调节氧化应激反应使慢．戒烟干预：烟草烟雾是包括慢阻肺及哮喘在阻肺急性加重患者获益∞“。
慢性阻塞性肺疾病,补肺,疾病-治疗,...：纳入的项研究（例）[，，]中，项项RCT研究[]报告，联合补肺活血胶囊治疗例 研究[]无安全性报告，项研究[]报告未发生不...
慢性阻塞性肺疾病,健脾,疾病-治疗,... 三联药物（ICS/LABA/LAMA）联合使用丹龙口服液较健脾益气的功效，可改善慢阻肺患者咳嗽痰多、色白黏 对照组，可改善...
慢性阻塞性肺疾病,益肾,疾病-治疗,...定量气雾剂，DPI=干粉明中医药在稳定期可以通过补肺、健脾、益肾、祛瘀、吸入剂，SMI=软雾吸入装置。
慢性阻塞性肺疾病,活血,疾病-治疗,...入的项研究（例）[，，]中，项项RCT研究[]报告，联合补肺活血胶囊治疗例 研究[]无安全性报告，项研究[]报告未发生不良反...
肺炎,肺康复,疾病-治疗,... 不超过 d，超过 d的口服糖皮质激素与慢阻肺急括患者教育、肺康复治疗、长期氧疗、家庭无创通气、 性加重肺炎及死亡风险增加有关。
肺动脉高压,补肺,疾病-治疗,...：纳入的项研究（例）[，，]中，项项RCT研究[]报告，联合补肺活血胶囊治疗例 研究[]无安全性报告，项研究[]报告未发生不良反应，慢阻肺合并肺动脉高压患者周，记录不良反应包括项研究[]报道，玉
