关系类型	头实体	尾实体	头类型	尾类型	头原文	尾原文	文献编号	匹配类型	精简上下文	审核状态	修改建议	备注	_source
疾病-治疗	慢性阻塞性肺疾病	无创通气	Disease	Treatment	慢阻肺	家庭无创通气	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	...用临床的选择性 抑制剂罗氟司特 呼吸康复治疗、家庭氧疗、家庭无创通气、疫苗、气PDE‐（ ）在亚洲人群中耐受性良好，口服罗氟 道...	待审核			explicit
疾病-治疗	慢性阻塞性肺疾病	阻抗训练	Disease	Treatment	慢阻肺	阻抗训练	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	...液高分泌的慢阻肺患者，无论稳定期 局部肌肉群的一种运动方式，阻抗训练方式通常包评估分组如何，均可在起始治疗中加用祛痰剂。	待审核			explicit
疾病-治疗	慢性阻塞性肺疾病	肺减容手术	Disease	Treatment	慢阻肺	肺减容术	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	...肺的内科介入治疗是基息状态下，达到 和（或）使 达到 于外科肺减容术的原理和患者获益分析，为减少外PaO≥mmHg SaO，以维持...	待审核			explicit
疾病-治疗	慢性阻塞性肺疾病	手术切除	Disease	Treatment	慢阻肺	手术切除	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	...volumereductionsurgery LVRS指通过手术切除部分气肿的肺组织来治疗慢阻肺 练［ ］、营养支持［ ］、氧疗...	待审核			explicit
疾病-症状	慢性阻塞性肺疾病	喘息	Disease	Symptom	慢阻肺	喘息	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	explicit	...亡率显著下降，年龄标准化气道炎症性疾病，临床表现为反复发作的喘息、气 死亡率和 率相较 年分别降低了DALY.%急，伴或不伴...	待审核			explicit
疾病-症状	慢性阻塞性肺疾病	胸闷	Disease	Symptom	慢性阻塞性肺疾病	胸闷	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	explicit	...积 依据上述肺功能分级和对症状及急性加重风GOLD FEV表慢性阻塞性肺疾病（慢阻肺）患者自我评估测试问卷（ 问卷）［］CAT症状 评分（分） 症状我从不咳嗽 我总是咳嗽我肺里一点痰都没有 我肺里有很多痰我一点也没有胸闷的感觉 我有很重的胸闷的感觉当我在爬坡或爬一层楼梯时我并不感...	待审核			explicit
疾病-症状	慢性阻塞性肺疾病	咳嗽加剧	Disease	Symptom	COPD	咳嗽加剧	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	explicit	...AECOPD 既往有创机械通气治疗记录重 常伴有喘息 胸闷 咳嗽加剧 痰量增加 痰, 、 、 、 、 医疗保健体系情况液颜色和 ...	待审核			explicit
疾病-治疗	呼吸衰竭	无创通气	Disease	Treatment	呼吸衰竭	无创通气	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	在积可以产生一定水平的呼气末正压（平均为 极的药物和无创通气治疗后，若患者的呼吸衰竭仍），对慢阻肺急性加重患者的呼吸困难有一 进行性恶化，出现危...	待审核			explicit
疾病-症状	心肌梗死	意识障碍	Disease	Symptom	心肌梗死	嗜睡	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	...氧疗，考查患者体力活心血管系统功能不稳定（低血压、心律失常和心肌梗死） 动和日常活动的能力，了解患者的症状（如mMRC嗜睡、意识障碍或患者不合作 或 问卷）以及合并症的情况。	待审核			explicit
疾病-治疗	心血管疾病	戒烟	Disease	Treatment	心血管疾病	戒烟	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	‐‐危及生命的低氧血症，且患者不能耐受无创通气［（一）心血管疾病心血管疾病是慢阻肺常见和重要的合并慢阻肺急性加重的预防：减少急性加重频率症［ ， ， ］，主要包括缺血性心脏病、心力衰竭、心.的干预措施见表 ，包括戒烟、流感疫苗接种和肺律失常、高血压和外周血管疾病。	待审核			explicit
疾病-治疗	心血管疾病	无创通气	Disease	Treatment	缺血性心脏病	无创通气	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	‐‐危及生命的低氧血症，且患者不能耐受无创通气［（一）心血管疾病心血管疾病是慢阻肺常见和重要的合并慢阻肺急性加重的预防：减少...	待审核			explicit
疾病-治疗	心力衰竭	无创通气	Disease	Treatment	心力衰竭	无创通气	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	‐‐危及生命的低氧血症，且患者不能耐受无创通气［（一）心血管疾病心血管疾病是慢阻肺常见和重要的合并慢阻肺急性加重的预防：减少急性加重频率症［ ， ， ］，主要包括缺血性心脏病、心力衰竭、心.的干预措施见表 ，包括戒烟、流感疫苗接种和肺律失常、高...	待审核			explicit
疾病-并发症	心血管疾病	心绞痛	Disease	Complication	缺血性心脏病	心绞痛	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	...究表明 抑制剂（罗氟司特）［ ］、大环内酯类 高风险患者发生心血管事件（死亡、心肌梗死、卒PDE‐抗生素［ ］及对维生素 重度缺乏患者给予补充维 中、不稳定心绞痛、短暂性脑缺血发作）的风险增生素 ［］能有效预防慢阻肺急性加...	待审核			explicit
疾病-治疗	心力衰竭	戒烟	Disease	Treatment	心力衰竭	戒烟	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	心力衰竭加重需与慢阻肺急性加重进行鉴抗感染制剂 大环内酯类药物疫苗 流感疫苗、肺炎球菌疫苗 别，合并慢阻肺常是导致急性心力衰竭患者住院的其他 戒烟 原因。	待审核			explicit
疾病-治疗	肺炎	戒烟	Disease	Treatment	肺炎	戒烟	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	...阻肺急性加重进行鉴抗感染制剂 大环内酯类药物疫苗 流感疫苗、肺炎球菌疫苗 别，合并慢阻肺常是导致急性心力衰竭患者住院的其他 戒烟 原因。	待审核			explicit
疾病-治疗	慢性阻塞性肺疾病	肺康复	Disease	Treatment	慢阻肺	肺康复	42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁.txt	explicit	...预措施（）提升自我管理效能（）长期规范使用吸入药物并积极进行肺康复等非药物治疗（）针对诱发因素的预防措施：一般措施：避免人群聚...	待审核			explicit
疾病-治疗	心力衰竭	肺康复	Disease	Treatment	充血性心力衰竭	肺康复	42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁.txt	explicit	...、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症也是加重呼吸道症状的常见原因知晓减少慢阻肺急性加重的干预措施（）提升自我管理效能（）长期规范使用吸入药物并积极进行肺康复等非药物治疗（）针对诱发因素的预防措施：一般措施：避免人群聚...	待审核			explicit
疾病-症状	慢性阻塞性肺疾病	乏力	Disease	Symptom	慢阻肺	乏力	39_2019-对慢性阻塞性肺疾病若干问题的思考.txt	explicit	...中存在的一些问ACO高度警惕合并肺癌的可能：不明原因的发热、乏力、 题：（） 的病情评估是按照慢阻肺的 、、、ACOS A ...	待审核			explicit
疾病-症状	心力衰竭	呼吸困难	Disease	Symptom	心力衰竭	呼吸困难	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	...规治疗基础上加用无创通气，可状与慢阻肺类似，可能被忽视，例如心力衰竭导致 改善因慢阻肺急性加重所致高碳酸血症患者和心的呼吸困难，抑郁症导致的乏力及体能下降等。	待审核			explicit
疾病-症状	心力衰竭	乏力	Disease	Symptom	心力衰竭	乏力	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	...规治疗基础上加用无创通气，可状与慢阻肺类似，可能被忽视，例如心力衰竭导致 改善因慢阻肺急性加重所致高碳酸血症患者和心的呼吸困难，抑郁症导致的乏力及体能下降等。	待审核			explicit
疾病-并发症	慢性阻塞性肺疾病	抑郁症	Disease	Complication	慢阻肺	抑郁	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	explicit	...uncil mMRC慢阻肺患者经常伴有其他慢性疾病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质...	待审核			explicit
疾病-并发症	心力衰竭	抑郁症	Disease	Complication	心力衰竭	抑郁症	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	...规治疗基础上加用无创通气，可状与慢阻肺类似，可能被忽视，例如心力衰竭导致 改善因慢阻肺急性加重所致高碳酸血症患者和心的呼吸困难，抑郁症导致的乏力及体能下降等。	待审核			explicit
疾病-并发症	糖尿病	代谢综合征	Disease	Complication	糖尿病	代谢综合征	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	explicit	六、合并症 （四）代谢综合征与糖尿病慢阻肺经常与其他疾病（合并症）共存，这些疾 代谢综合征和 型...	待审核			explicit
疾病-并发症	慢性阻塞性肺疾病	代谢综合征	Disease	Complication	慢阻肺	代谢综合征	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	explicit	...uncil mMRC慢阻肺患者经常伴有其他慢性疾病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养不良和骨骼肌...	待审核			explicit
疾病-并发症	支气管扩张	焦虑症	Disease	Complication	支气管扩张	焦虑	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	研究发现，合并支气管扩张与慢阻肺%~%焦虑和抑郁是慢阻肺重要合并症，常发生于年 急性...	待审核			explicit
疾病-并发症	支气管扩张	抑郁症	Disease	Complication	支气管扩张	抑郁	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	研究发现，合并支气管扩张与慢阻肺%~%焦虑和抑郁是慢阻肺重要合并症，常发生于年 急性...	待审核			explicit
疾病-并发症	慢性阻塞性肺疾病	焦虑症	Disease	Complication	慢阻肺	焦虑	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	explicit	...uncil mMRC慢阻肺患者经常伴有其他慢性疾病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质...	待审核			explicit
疾病-症状	肺癌	慢性咳嗽	Disease	Symptom	肺癌	慢性咳嗽	22_咳嗽基层诊疗指南（2018年）.txt	explicit	...治 中医中药：中医常将感冒分为风寒感冒、风热疗无效的不明原因慢性咳嗽患者，支气管镜检查可 感冒、暑湿感冒等类型，治疗原则是疏风解表（荆防败用于诊断或排除气道腔病变导致的咳嗽病因，如支 毒散）、辛凉解表（银翘散或桑菊饮）、清暑解表（藿香气管肺癌、异物、结核、复发性多软骨炎等。	待审核			explicit
疾病-症状	肺炎	慢性咳嗽	Disease	Symptom	肺炎	咳嗽	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	explicit	...咳嗽 咳痰症状加重 的 种病原体是流感嗜血杆菌 卡他莫拉菌和肺炎( ) 、 ,、症状恶化发生在 内 可能伴有呼吸急促和 链球...	待审核			explicit
疾病-症状	肺结核	慢性咳嗽	Disease	Symptom	肺结核	慢性咳嗽	22_咳嗽基层诊疗指南（2018年）.txt	explicit	>ml据 线胸片检查有无异常将慢性咳嗽分为两类：一 多数慢性咳嗽患者可获明确诊断，并在针对性类为 线胸片有明确病变者，如肺炎、肺结核、支气 治疗后治愈或缓解。	待审核			explicit
疾病-症状	支气管哮喘	慢性咳嗽	Disease	Symptom	哮喘	咳嗽	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	explicit	随着慢阻肺规范化诊疗与全病程管理的推行，哮喘是由多种细胞以及细胞组分参与的慢性 年我国慢阻肺死亡率显著下降，年龄标准化气...	待审核			explicit
疾病-症状	支气管炎	慢性咳嗽	Disease	Symptom	支气管炎	咳嗽	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	explicit	...哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气管炎、肺气肿或慢阻肺诱因所致的肺部和全身炎症反应增加有关［］。	待审核			explicit
疾病-症状	心肌梗死	慢性咳嗽	Disease	Symptom	心肌梗死	咳嗽	22_咳嗽基层诊疗指南（2018年）.txt	explicit	... （二）急性气管 支气管炎能是少数严重疾病的征象之一，如急性心肌梗死、 急性气管 支气管炎是由生物性或非生物性因左心功能不全、肺...	待审核			explicit
疾病-症状	肺栓塞	慢性咳嗽	Disease	Symptom	肺栓塞	咳嗽	22_咳嗽基层诊疗指南（2018年）.txt	explicit	...管 支气管炎是由生物性或非生物性因左心功能不全、肺炎、气胸、肺栓塞及异物吸入。	待审核			explicit
疾病-症状	支气管哮喘	喘息	Disease	Symptom	哮喘	喘息	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	explicit	...亡率显著下降，年龄标准化气道炎症性疾病，临床表现为反复发作的喘息、气 死亡率和 率相较 年分别降低了DALY.%急，伴或不伴...	待审核			explicit
疾病-症状	支气管扩张	慢性咳嗽	Disease	Symptom	支气管扩张症	咳嗽	30_咳嗽的诊断与治疗指南（2021）.txt	explicit	大环内酯类药物有助于改善稳定‑~dCB十、其他慢性咳嗽病因的诊断与治疗 期支气管扩张症患者症状，减少急性加重风险，但（一）慢性支气管炎（ ） 要...	待审核			explicit
疾病-症状	结核中毒症状	慢性咳嗽	Disease	Symptom	结核中毒症状	咳嗽	30_咳嗽的诊断与治疗指南（2021）.txt	explicit	其主要症状为慢性咳嗽，可伴有低嗽伴咳痰与其急性加重率增加、病死率增加 热、盗汗、消痩等结核中毒症状，部分患者咳嗽是其相关［ ］。	待审核			explicit
疾病-治疗	肺癌	手术切除	Disease	Treatment	肺癌	手术切除	30_咳嗽的诊断与治疗指南（2021）.txt	explicit	肺癌咳嗽的治疗关键在于原发灶的治 的慢性咳嗽病因检查，排除已知的慢性咳嗽病因，疗，放疗、化疗、射频消融术及手术切除肺部肿瘤能 针对慢性咳嗽病因治疗无效的情况下，方可考虑不够缓...	待审核			explicit
疾病-症状	支气管哮喘	胸闷	Disease	Symptom	哮喘	胸闷	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	explicit	...、气 死亡率和 率相较 年分别降低了DALY.%急，伴或不伴胸闷或咳嗽等症状，同时伴有气道高 和 ，但发病率和患病率分别增加...	待审核			explicit
疾病-症状	支气管哮喘	咳痰	Disease	Symptom	支气管哮喘	咳痰	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	explicit	...急性加重风险评估 患者在最近 d内出否现呼吸困难和/或咳嗽、咳痰的恶化，同时可伴有呼您父母、兄弟姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气...	待审核			explicit
疾病-症状	阻塞性睡眠呼吸暂停	失眠	Disease	Symptom	OSA	失眠	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	explicit	... Gen Pract, June, Vol., No.（九）阻塞性睡眠呼吸暂停（ 一、治疗目标obstructive sleep， ）和失眠 慢阻肺稳定期治疗目标是减轻当前症状和降apnea OSA慢...	待审核			explicit
疾病-治疗	肺栓塞	肺康复	Disease	Treatment	肺栓塞	肺康复	42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁.txt	explicit	...停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症也是加重呼吸道症状的常见原因知晓减少慢阻肺急性加重的干预措施（）提升自我管理效能（）长期规范使用吸入药物并积极进行肺康复等非药物治疗（）针对诱发因素的预防措施：一般措施：避免人群聚...	待审核			explicit
疾病-症状	慢性阻塞性肺疾病	中成药	Disease	Symptom	慢阻肺	中成药	50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年.txt	explicit	...虚证 于改善慢阻肺稳定期患者的焦虑、抑郁状态有较好疗效，但候中成药予百令胶囊［-，-］治疗可延缓肺功能下降( 推荐 目前文献证据质量相对较低，或是文献量偏少，甚至缺少文樊长征等:慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)献支持，建议以后开展规范...	待审核			explicit
疾病-症状	支气管扩张	咳痰	Disease	Symptom	支气管扩张症	咳痰	30_咳嗽的诊断与治疗指南（2021）.txt	explicit	...有助于改善稳定‑~dCB十、其他慢性咳嗽病因的诊断与治疗 期支气管扩张症患者症状，减少急性加重风险，但（一）慢性支气管炎（ ） 要注意长期应用导致的细菌耐药性及药物不良反chronicbronchitis定义：咳嗽、咳痰连续 年以上，每年累积或持 应等问题［ ］（ ）。	待审核			explicit
疾病-症状	支气管扩张	呼吸困难	Disease	Symptom	支气管扩张	呼吸困难	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...消炎丸具有清肺化痰，止咳平喘之痰多，舌红苔黄的患者，在氧疗、支气管扩张剂、抗感 功效，可有效缩短慢阻肺患者咳嗽、咳痰、喘息持续时染、营养支持、化痰治疗基础上，推荐联合使用桂龙咳 间，缓解呼吸困难，改善生活质量。	待审核			explicit
疾病-治疗	支气管哮喘	戒烟	Disease	Treatment	哮喘	戒烟	29_【CASA-Q量表】慢性气道炎症性疾病气道黏液高分泌管理中国专家共识.txt	explicit	氨溴索还可通过调节氧化应激反应使慢．戒烟干预：烟草烟雾是包括慢阻肺及哮喘在阻肺急性加重患者获益∞“。	待审核			explicit
疾病-症状	变应性鼻炎	慢性咳嗽	Disease	Symptom	变应性鼻炎	慢性咳嗽	30_咳嗽的诊断与治疗指南（2021）.txt	explicit	...查：用于检测患CTIgE管狭窄、支气管扩张等，对于一些少见的慢性咳嗽 者是否存在特应质和确定变应原类型，有助于变应病因，如支气管结石、复发性多软骨炎、支气管异 性疾病［如变应性鼻炎和变应性咳嗽（ ，atopiccough物、早期间质性肺疾病...	待审核			explicit
疾病-症状	非变应性鼻炎	慢性咳嗽	Disease	Symptom	非变应性鼻炎	咳嗽	30_咳嗽的诊断与治疗指南（2021）.txt	explicit	是哮喘的一种特殊类型，咳嗽是其唯一或CVA（）病因治疗： 非变应性鼻炎以及普通感冒： 主要临床表现，无明显喘息、气促等症状，但存在...	待审核			explicit
疾病-症状	鼻窦炎	慢性咳嗽	Disease	Symptom	鼻窦炎	咳嗽	30_咳嗽的诊断与治疗指南（2021）.txt	explicit	"...鼻 临床表现：主要表现为刺激性干咳，通常咳③.
窦炎： 慢性鼻窦炎患者鼻窦分泌物细菌培养以 嗽比较剧烈，夜间及凌晨咳嗽为其重要..."	待审核			explicit
疾病-症状	慢性支气管炎	慢性咳嗽	Disease	Symptom	慢性支气管炎	慢性咳嗽	30_咳嗽的诊断与治疗指南（2021）.txt	explicit	‑能与目前慢性支气管炎的诊断缺乏客观标准，在 （三）气管 支气管结核（ ）‑ bronchialtuberculosis流行病学调查时易将许多其他病因引起的慢性咳 国内气管 支气管结核在慢性咳嗽中并不罕嗽患者误诊为慢性支气管炎有关。	待审核			explicit
疾病-症状	糖尿病	慢性咳嗽	Disease	Symptom	糖尿病	慢性咳嗽	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	explicit	...患病高风险人群 凡有慢阻肺危险结合中国的临床实际，参考近年来糖尿病和高脂血症 因素如年龄≥ 岁、早产、出生低体质量、儿童时等慢性疾病管理的临床经验，邀请多位慢阻肺专家 期反复发生下呼吸道感染、中重度吸烟、长期粉尘组成慢阻肺中西医结合管理专家共识写作组，确定 接触史，并存在以下临床症状：慢性咳嗽、咳痰、共识撰写体例、大纲，基于循证证据和专家临床经验， 呼...	待审核			explicit
疾病-症状	糖尿病	咳痰	Disease	Symptom	糖尿病	咳痰	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	explicit	...患病高风险人群 凡有慢阻肺危险结合中国的临床实际，参考近年来糖尿病和高脂血症 因素如年龄≥ 岁、早产、出生低体质量、儿童时等慢性疾病管理的临床经验，邀请多位慢阻肺专家 期反复发生下呼吸道感染、中重度吸烟、长期粉尘组成慢阻肺中西医结合管理专家共识写作组，确定 接触史，并存在以下临床症状：慢性咳嗽、咳痰、共识撰写体例、大纲，基于循证证据和专家临床经验， 呼吸困难...	待审核			explicit
疾病-症状	支气管炎	呼吸困难	Disease	Symptom	支气管炎	呼吸困难	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	explicit	... 是取暖吗 . 未来急性加重风险评估 患者在最近 d内出否现呼吸困难和/或咳嗽、咳痰的恶化，同时可伴有呼您父母、兄弟姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气管炎、肺气肿或慢阻肺诱因所致的肺部和全身炎症反应增加有关［］。	待审核			explicit
疾病-症状	支气管炎	咳痰	Disease	Symptom	支气管炎	咳痰	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	explicit	...急性加重风险评估 患者在最近 d内出否现呼吸困难和/或咳嗽、咳痰的恶化，同时可伴有呼您父母、兄弟姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气管炎、肺气肿或慢阻肺诱因所致的肺部和全身炎症反应增加有关［］。	待审核			explicit
疾病-治疗	慢性阻塞性肺疾病	补肺	Disease	Treatment	慢阻肺	补肺	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...：纳入的项研究（例）[，，]中，项项RCT研究[]报告，联合补肺活血胶囊治疗例 研究[]无安全性报告，项研究[]报告未发生不...	待审核			explicit
疾病-治疗	慢性阻塞性肺疾病	健脾	Disease	Treatment	慢阻肺	健脾	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	... 三联药物（ICS/LABA/LAMA）联合使用丹龙口服液较健脾益气的功效，可改善慢阻肺患者咳嗽痰多、色白黏 对照组，可改善...	待审核			explicit
疾病-治疗	慢性阻塞性肺疾病	益肾	Disease	Treatment	慢阻肺	益肾	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	explicit	...定量气雾剂，DPI=干粉明中医药在稳定期可以通过补肺、健脾、益肾、祛瘀、吸入剂，SMI=软雾吸入装置。	待审核			explicit
疾病-治疗	慢性阻塞性肺疾病	活血	Disease	Treatment	慢阻肺	活血	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...入的项研究（例）[，，]中，项项RCT研究[]报告，联合补肺活血胶囊治疗例 研究[]无安全性报告，项研究[]报告未发生不良反...	待审核			explicit
疾病-治疗	肺炎	肺康复	Disease	Treatment	肺炎	肺康复	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	explicit	... 不超过 d，超过 d的口服糖皮质激素与慢阻肺急括患者教育、肺康复治疗、长期氧疗、家庭无创通气、 性加重肺炎及死亡风险增加有关。	待审核			explicit
疾病-症状	肺癌	胸闷	Disease	Symptom	肺癌	胸闷	35_咳嗽中医诊疗专家共识意见（2021）.txt	explicit	) 肺癌: 表现为刺激性呛咳，咳嗽顽固，持) 性质、声音: 咳声洪亮有力多为实证; 咳 续日久不愈，反复咯血痰，出现不明原因的低热、而声低气怯多为虚证; 咳声嘶哑多为燥咳; 咳声重 胸痛、胸闷短气，伴消痩、乏力等症。	待审核			explicit
