关系类型	头实体	尾实体	头类型	尾类型	头原文	尾原文	文献编号	匹配类型	精简上下文	审核状态	修改建议	备注	_source	人工判定	问题说明	置信度
药物-治疗-疾病	支气管炎	抗菌药物	Disease	Medication	支气管炎	抗菌药物	30_咳嗽的诊断与治疗指南（2021）.txt	explicit	（）减充血剂与抗组胺药：减充血剂与第一 外证据表明，抗菌药物治疗对急性气管 支气管炎A‑代抗组胺药物联合应用能明显缓解咳嗽，改善打喷 患者的咳嗽...	待审核		方向规范化：尾实体是Disease，反转方向（原抗菌药物→支气管炎）	explicit	✓	抗菌药物是治疗支气管炎的常规用药, 方向反了但医学事实正确	0.85
疾病-并发症	糖尿病	代谢综合征	Disease	Complication	糖尿病	代谢综合征	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	explicit	六、合并症 （四）代谢综合征与糖尿病慢阻肺经常与其他疾病（合并症）共存，这些疾 代谢综合征和 型...	待审核			explicit	✓	"""糖尿病""与""代谢综合征""的合并症关系医学事实正确(类型标注偏差:Complication)"	0.75
疾病-并发症	慢性阻塞性肺疾病	抑郁症	Disease	Complication	慢阻肺	抑郁	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	explicit	...uncil mMRC慢阻肺患者经常伴有其他慢性疾病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质...	待审核			explicit	✓	"""慢性阻塞性肺疾病""与""抑郁症""的合并症关系医学事实正确(类型标注偏差:Complication)"	0.75
疾病-症状	支气管扩张	喘息	Disease	Symptom	支气管扩张	喘息	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	推荐意见：对于慢阻肺急性加重期咳嗽、喘息、 推荐依据：清肺消炎丸具有清肺化痰，止咳平喘之痰多，舌红苔黄的患者，在氧疗、支气管扩张剂、抗感 功效，可有效缩短慢阻肺患者咳嗽、咳痰、喘息持续时染...	待审核			explicit	✓	实体在医学知识库中，关系类型合规	0.7
药物-导致-并发症	支气管舒张剂	咳痰	Medication	Symptom	支气管舒张剂	咳痰	23_面向全科医生的《慢性阻塞性肺疾病诊治指南（2021年修订版）》解读.txt	cooccur	...肺诊断的“金标准”，肺功能检查提示肺泡异常所致，以慢性咳嗽、咳痰和活动后气促为主 吸入支气管舒张剂后第 秒用力呼气末容积（FEV ）/要症状，其会导致患者生活...	待审核		由相关细化为药物-导致-并发症（上下文关键词）	cooccur	✗	咳痰是症状而非并发症, 关系类型错误(应为疾病-症状或药物-缓解-症状)	0.85
疾病-症状	呼吸衰竭	喘息	Disease	Symptom	呼吸衰竭	喘息	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	cooccur	...度：患者需要住院或急诊、 治疗，重度. ICU促加重，常伴有喘息、胸闷、咳嗽加剧、痰量增加、痰急性加重可能并发急性呼吸衰竭。	待审核		由相关细化为疾病-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
危险因素-疾病	慢性阻塞性肺疾病	烟草烟雾	Disease	RiskFactor	慢阻肺	烟草烟雾	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...，有文献报道女慢阻肺是一种常见的、可预防和治疗的慢性气 性对烟草烟雾的危害更敏感［， ］。	待审核		方向规范化：尾实体是Disease，反转方向（原烟草烟雾→慢性阻塞性肺疾病）	cooccur	✓	"方向反转(应为""烟草烟雾""导致""慢性阻塞性肺疾病""), 医学事实正确"	0.8
药物-治疗-疾病	支气管扩张	糖皮质激素	Disease	Medication	支气管扩张	糖皮质激素	8_【参考】创新药盘点系列报告-慢性阻塞性肺病治疗领域迎来新机制、新疗法.txt	cooccur	...CAT等量表结合COPD急性加重次数及严重程度（轻度仅需短效支气管扩张剂治疗、中度使用短效支气管扩张剂并加用抗生素和/或ICS（吸入糖皮质激素）、重度需要住院或急诊、ICU治疗）对患者症状及急性加重风险...	待审核		方向规范化：尾实体是Disease，反转方向（原糖皮质激素→支气管扩张）	cooccur	✓	"方向反转(原文应为""糖皮质激素""治疗""支气管扩张"")，但医学事实正确"	0.8
疾病-症状	慢性阻塞性肺疾病	乏力	Disease	Symptom	慢阻肺	乏力	39_2019-对慢性阻塞性肺疾病若干问题的思考.txt	explicit	...中存在的一些问ACO高度警惕合并肺癌的可能：不明原因的发热、乏力、 题：（） 的病情评估是按照慢阻肺的 、、、ACOS A ...	待审核			explicit	✓	实体在医学知识库中，关系类型合规	0.7
药物-治疗-疾病	变应性鼻炎	激动剂	Disease	Medication	变应性鼻炎	激动剂	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	激动剂）的复方制剂，如布地奈德福莫特罗（//（）变应性鼻炎患者首选鼻腔吸入糖皮质激素 ，次 ；	待审核		方向规范化：尾实体是Disease，反转方向（原激动剂→变应性鼻炎）	cooccur	✗	"变应性鼻炎一线治疗是鼻用糖皮质激素, ""激动剂""过于笼统且非标准治疗"	0.85
疾病-治疗	支气管扩张	体位引流	Disease	Treatment	支气管扩张	体位引流	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	体位引流对支气管扩张患咳嗽，抗真菌治疗有效。	待审核		由相关细化为疾病-治疗（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
药物-治疗-疾病	慢性阻塞性肺疾病	联合制剂	Disease	Medication	慢阻肺	联合制剂	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...在多项指南[，，]中推荐用于慢阻肺稳定期（肺素与支气管舒张剂联合制剂、化痰剂等，能缓解临床症 脾气虚）的治疗。	待审核		方向规范化：尾实体是Disease，反转方向（原联合制剂→慢性阻塞性肺疾病）	cooccur	✓	"方向反转(原文应为""联合制剂""治疗""慢性阻塞性肺疾病"")，但医学事实正确"	0.8
危险因素-疾病	肺癌	吸烟史	Disease	RiskFactor	肺癌	吸烟史	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	‐（四）肺癌 （八）阻塞性睡眠呼吸暂停（ ）OSA肺气肿和肺癌的相关性高于气流受限和肺癌 慢阻肺患者合并 的患病率为OSA%~的相关性［ ］，同时具有肺气肿和气流受限者肺 ［ ］，中重度慢阻肺患者 患病率可高达‐‐% OSA癌风险最大，而高龄和大量吸烟史进一步增大风 ，当两者并存时称为重叠综合征（.% Overl...	待审核		方向规范化：尾实体是Disease，反转方向（原吸烟史→肺癌）	explicit	✓	"方向反转(应为""吸烟史""导致""肺癌""), 医学事实正确"	0.8
疾病-症状	肺癌	呼吸困难	Disease	Symptom	肺癌	呼吸困难	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	cooccur	modified， ）呼吸困难问卷 （四）合并症的评估Medical Research Council mMRC慢阻肺患者经常伴有其他慢性疾病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养不良和骨骼肌功能障占预计值百分比（使用肺功能分级 气流...	待审核		由相关细化为疾病-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
检查-辅助诊断-疾病	肺癌	CT	Disease	Examination	肺癌	CT	30_咳嗽的诊断与治疗指南（2021）.txt	explicit	目前市面上存在‑CTC FeNO往检查仍无法明确病因，或针对常见病因治疗无 多种品牌的 检测仪器，但健康人参考值尚未FeNO效，或怀疑支气管扩张、肺癌或异物等少见病因的 完全统一，且诊断嗜酸粒细胞性气道炎症的临...	待审核		方向规范化：尾实体是Disease，反转方向（原CT→肺癌）	explicit	✓	"方向反转(应为""CT""辅助诊断""肺癌""), 医学事实正确"	0.8
危险因素-疾病	鼻窦炎	吸烟	Disease	RiskFactor	鼻窦炎	吸烟	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	cooccur	...障碍CT弥漫性泛细支气管炎 主要发生在亚洲人群中，多为男性非吸烟者，患者几乎均有慢性鼻窦炎， 胸片和高分辨率 示弥漫性小叶中央结X CT节影和过度充气...	待审核		方向规范化：尾实体是Disease，反转方向（原吸烟→鼻窦炎）	cooccur	✓	"方向反转(应为""吸烟""导致""鼻窦炎""), 医学事实正确"	0.8
药物-缓解-症状	长效β2受体激动剂	肺脾气虚	Medication	Symptom	LABA	肺脾气虚	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	cooccur	...次急性加重 一种支气管舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 mMRC为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便...	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
疾病-症状	支气管哮喘	呼吸困难	Disease	Symptom	支气管哮喘	呼吸困难	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	explicit	... 是取暖吗 . 未来急性加重风险评估 患者在最近 d内出否现呼吸困难和/或咳嗽、咳痰的恶化，同时可伴有呼您父母、兄弟姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气...	待审核			explicit	✓	实体在医学知识库中，关系类型合规	0.7
治疗-改善-症状	肺减容手术	呼吸困难	Treatment	Symptom	肺减容术	呼吸困难	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	cooccur	按需氧疗、无创通气、 学习吸入技术肺减容术、舒缓治疗 缓解呼吸困难 慢阻肺治疗的远期目标是降低患者病死率，表疫苗 制订行动计划...	待审核		由相关细化为治疗-改善-症状（上下文关键词）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
药物-治疗-疾病	慢性支气管炎	长效毒蕈碱拮抗剂	Disease	Medication	慢性支气管炎	LAMA	8_【参考】创新药盘点系列报告-慢性阻塞性肺病治疗领域迎来新机制、新疗法.txt	cooccur	...LABA或LAMA）以及LABA+ICS，此外在是否同时患有慢性支气管炎、外周血嗜酸性粒细胞水平高低、近期是否发生过急性加重事件等细...	待审核		方向规范化：尾实体是Disease，反转方向（原长效毒蕈碱拮抗剂→慢性支气管炎）	cooccur	✓	"方向反转(原文应为""长效毒蕈碱拮抗剂""治疗""慢性支气管炎"")，但医学事实正确"	0.8
治疗-改善-症状	补肺	乏力	Treatment	Symptom	补肺	乏力	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...：补中益气汤具有补中益气、升阳举陷的 推荐依据：百令胶囊功效补肺肾，益精气，可改善功效，可通过培补脾胃、滋养气血肌肉，改善慢阻肺患 肺肾亏虚导致的运动不耐受，神疲乏力，腰膝酸软等症者运动不耐受。	待审核		由相关细化为治疗-改善-症状（上下文关键词）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
药物-治疗-疾病	呼吸衰竭	线胸片	Disease	Medication	呼吸衰竭	线胸片	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	cooccur	...受药物治疗 包括, , AECOPD ,杂气胸 新发生的严重呼吸衰竭 线胸片可疑支 使用支气管舒张剂 糖皮质激素和口服抗菌药物, ,X ...	待审核		方向规范化：尾实体是Disease，反转方向（原线胸片→呼吸衰竭）	cooccur	✗	"尾实体""线胸片""不是药物，关系类型错误(应为检查类关系)"	0.9
药物-缓解-症状	ICS联合LABA	呼吸困难	Medication	Symptom	ICS+LABA	呼吸困难	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...虑 LABALAMA+LABA D CAT>EOS≥/μl ICS+LABA+三联治疗，尤其是重度或以上气流受限者 治疗后发生急性加重LAMA LAMA+LABA图慢性阻塞性肺疾病稳定期初始治疗推荐 的患者，根据血 水平推荐以下EOS种方案：若血 个 ，不EOS</μl在以改善呼吸困难为治疗目标的随访路径中，推荐使用 治疗，可添加罗氟司特；	待审核		由相关细化为药物-缓解-症状（上下文关键词）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
检查-评估-症状	心电图	头痛	Examination	Symptom	心电图	头痛	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	...感性高症见咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮紧。	待审核		由相关细化为检查-评估-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
诱发-急性加重	补肺	呼吸困难	Treatment	Symptom	补肺	呼吸困难	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...评估的基础上，可考虑更换吸入装置或药RCT研究[]报告，联合补肺活血胶囊治疗例慢阻 物、升级药物治疗方案至LAMA+LABA、实施或升级非肺合并肺动脉高压患者周，记录不良反应包括血氧 药物治疗措施，检查有无其他原因引起的呼吸困难。	待审核		由相关细化为诱发-急性加重（上下文关键词）	cooccur	✗	"尾实体""呼吸困难""是症状，不应使用""诱发-急性加重""关系(应为疾病-症状)"	0.85
药物-治疗-疾病	肺动脉高压	长效毒蕈碱拮抗剂	Disease	Medication	肺动脉高压	LAMA	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...物、升级药物治疗方案至LAMA+LABA、实施或升级非肺合并肺动脉高压患者周，记录不良反应包括血氧 药物治疗措施，检查有无其他原因...	待审核		方向规范化：尾实体是Disease，反转方向（原长效毒蕈碱拮抗剂→肺动脉高压）	cooccur	✗	LAMA是COPD/哮喘用药, 不是肺动脉高压的标准治疗药物	0.85
疾病-治疗	慢性阻塞性肺疾病	宣肺止咳	Disease	Treatment	慢阻肺	宣肺止咳	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	宣肺止咳的功效，联合使用可改善慢阻肺风寒袭肺证使用方法：使用方法见表...	待审核			explicit	✓	实体在医学知识库中，关系类型合规	0.7
治疗-改善-症状	活血	腹泻	Treatment	Symptom	活血	腹泻	50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年.txt	cooccur	适应症:益气活血，补仁;失眠者加远志、龙骨、牡蛎;腹泻者去肉苁蓉、熟地黄加车 肺固肾。	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
疾病-症状	呼吸衰竭	乏力	Disease	Symptom	呼吸衰竭	乏力	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...的胃肠功能具有保护作用，较对照组可降低善慢阻肺急性加重期合并呼吸衰竭患者神疲乏力、心 GSRS评分（MD -，%CI：-.~-.），改善患者...	待审核			explicit	✓	实体在医学知识库中，关系类型合规	0.7
药物-缓解-症状	吸入药物	肺脾气虚	Medication	Symptom	吸入药物	肺脾气虚证	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...D治疗策略：联合玉屏风颗粒 强推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以L...	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
药物-缓解-症状	长效毒蕈碱拮抗剂	气虚	Medication	Symptom	LAMA	气虚	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	根据患者急性加重可治疗特征升级治疗方案为 气虚证患者治疗个月可显著降低年内急性加重次数LAMA+LABA或...	待审核		由相关细化为药物-缓解-症状（上下文关键词）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
药物-治疗-疾病	支气管扩张	支气管舒张剂	Disease	Medication	支气管扩张症	支气管舒张剂	29_【CASA-Q量表】慢性气道炎症性疾病气道黏液高分泌管理中国专家共识.txt	cooccur	支气管扩张症患 目前，慢性气道炎症性疾病如慢阻肺及哮喘的者的气道黏膜纤毛的活动性下降，排痰能力也随之 治疗主要以支气管舒张剂、吸人性糖皮质激素抗炎下降，同时其分泌的黏液理化I生质也发生...	待审核		方向规范化：尾实体是Disease，反转方向（原支气管舒张剂→支气管扩张）	cooccur	✓	"方向反转(原文应为""支气管舒张剂""治疗""支气管扩张"")，但医学事实正确"	0.8
疾病-症状	糖尿病	呼吸困难	Disease	Symptom	糖尿病	呼吸困难	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	cooccur	...史（肺气肿、慢性支气管炎、慢阻肺、哮喘）版英国医学研究委员会呼吸困难量表，CAT=慢性阻塞性肺疾病评估共病（心血管病、糖尿病及代谢性疾病、肿瘤等）测试。	待审核		由相关细化为疾病-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
疾病-症状	支气管哮喘	喘息	Disease	Symptom	哮喘	喘息	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	explicit	...亡率显著下降，年龄标准化气道炎症性疾病，临床表现为反复发作的喘息、气 死亡率和 率相较 年分别降低了DALY.%急，伴或不伴...	待审核			explicit	✓	实体在医学知识库中，关系类型合规	0.7
药物-治疗-疾病	支气管哮喘	糖皮质激素	Disease	Medication	哮喘	糖皮质激素	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	explicit	...染痰中EOS增多提 并心肌损伤都会增加患者死亡风险[]因此示糖皮质激素治疗反应性好[] 心电图异常或呼吸困难比 预期更严重AECO...	待审核		方向规范化：尾实体是Disease，反转方向（原糖皮质激素→支气管哮喘）	explicit	✓	"方向反转(原文应为""糖皮质激素""治疗""支气管哮喘"")，但医学事实正确"	0.8
诱发-急性加重	肺炎	糖皮质激素	Disease	Medication	肺炎	糖皮质激素	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	相对少见的病原体包括肺炎 较长时间使用广谱抗菌药物和（或）近期反复全身PA衣原体、肺炎支原体、军团菌、金黄色葡萄球菌 应用糖皮质激素治疗的患者，应注意真菌感染可中华结核和呼吸杂志 年 月第 卷...	待审核		方向规范化：尾实体是Disease，反转方向（原糖皮质激素→肺炎）	cooccur	✗	"尾实体""糖皮质激素""是药物，不应使用""诱发-急性加重""关系(应为药物-治疗-疾病)"	0.85
诱发-急性加重	慢性阻塞性肺疾病	乏力	Disease	Symptom	COPD	乏力	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	cooccur	( 、初始抗菌治疗的疗效 抗菌治疗既要关注 肌肉酸痛 全身乏力和呼吸道感染 时间 并、 ) <d患者的短期疗效 如迅速改善...	待审核		由相关细化为诱发-急性加重（上下文关键词）	cooccur	✗	"尾实体""乏力""是症状，不应使用""诱发-急性加重""关系(应为疾病-症状)"	0.85
治疗-改善-症状	健脾	中成药	Treatment	Symptom	健脾	中成药	50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年.txt	cooccur	不良反应:偶见恶心、呕吐、胃 虚证候慢阻肺中成药予人参健脾丸［］治疗可提高MWD部不适、便秘、咽干。	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
疾病-并发症	慢性阻塞性肺疾病	胸腔积液	Disease	Complication	慢阻肺	胸腔积液	42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁.txt	explicit	...吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症也是...	待审核			explicit	✓	"""慢性阻塞性肺疾病""与""胸腔积液""的合并症关系医学事实正确(类型标注偏差:Complication)"	0.75
药物-治疗-疾病	支气管哮喘	线胸片	Disease	Medication	哮喘	线胸片	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	...治疗指南（ 版）［］中，病史和家族史者应注意排除过敏性鼻炎和支气管除了 线胸片以外，肺通气功能 激发试验与诱导哮喘（哮喘）相关的咳嗽。	待审核		方向规范化：尾实体是Disease，反转方向（原线胸片→支气管哮喘）	cooccur	✗	"尾实体""线胸片""不是药物，关系类型错误(应为检查类关系)"	0.9
药物-缓解-症状	苏子降气丸	流清涕	Medication	Symptom	苏子降气丸	流清涕	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	cooccur	中成药：吸气促，胸部胀闷，咳痰稀薄色白，常伴鼻塞，流清涕， 苏子降气丸、蛤蚧定喘胶囊/丸等。	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
药物-缓解-症状	LABA联合LAMA	肺脾气虚	Medication	Symptom	LABA+LAMA	肺脾气虚证	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以LABA+LAMA劳，伴食欲减退作为初始治疗选择，同时基肺肾两虚证：咳嗽、痰白质...	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
检查-辅助诊断-疾病	肺癌	血气分析	Disease	Examination	肺癌	血气分析	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	cooccur	以协助除外其他肺部疾病，如肺癌、支气管扩张症、 （）推荐项目包括：动脉血气分析、痰培养、胸肺纤维化等。	待审核		方向规范化：尾实体是Disease，反转方向（原血气分析→肺癌）	cooccur	✓	"方向反转(应为""血气分析""辅助诊断""肺癌""), 医学事实正确"	0.8
药物-缓解-症状	羧甲司坦	慢性咳嗽	Medication	Symptom	羧甲司坦	咳嗽	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	...吸道咳嗽感受器所致，指南建议用 （）祛痰剂及黏液溶解剂等（如羧甲司坦 ，mg替代 ［］。	待审核		由相关细化为药物-缓解-症状（上下文关键词）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
